,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2007-06-30,"$3,170","$6,790","$8,000",$197,-,"$18,157",$691,-,"$3,598","$1,683","$6,155","$24,312","$14,859","$1,798",-,"$3,014","$17,873",$3,"$4,881",$82,$-26,"$6,439","$24,312"
2007-03-31,"$2,916","$6,566","$8,153",$221,-,"$17,856",$684,-,"$3,588","$1,649","$6,087","$23,943","$15,126","$1,803",-,"$2,544","$17,670",$3,"$4,712",$31,$-33,"$6,273","$23,943"
2006-12-31,"$2,975","$6,427","$8,616",$286,-,"$18,304",$616,-,"$1,826","$1,588","$4,186","$22,490","$14,726",$957,-,"$1,666","$16,392",$3,"$4,473",$76,$-47,"$6,098","$22,490"
2006-09-30,"$3,235","$5,983","$7,791",$293,-,"$17,302",$634,-,"$1,828","$1,565","$4,177","$21,479","$13,930",$959,-,"$1,628","$15,558",$3,"$4,248",$94,$-50,"$5,921","$21,479"
2006-06-30,"$2,981","$6,249","$7,714",$168,-,"$17,112",$644,-,"$1,919","$1,521","$4,227","$21,339","$13,825",$962,-,"$1,605","$15,430",$3,"$4,037",$94,$-51,"$5,909","$21,339"
2006-03-31,"$3,101","$6,247","$7,127",$522,-,"$16,997",$663,-,"$1,753","$1,409","$3,964","$20,961","$13,470",$965,-,"$1,584","$15,054",$3,"$3,871",$55,$-100,"$5,907","$20,961"
2005-12-31,"$2,183","$6,380","$8,208",$160,-,"$16,931",$667,-,"$1,820","$1,097","$3,829","$20,760","$13,285",$985,-,"$1,567","$14,852",$3,"$3,670",$50,$-94,"$5,908","$20,760"
2005-09-30,"$2,996","$5,855","$7,588",$246,-,"$16,685",$649,-,"$1,826","$1,047","$3,771","$20,456","$13,010",$988,-,"$1,593","$14,603",$3,"$3,494",$51,$-81,"$5,853","$20,456"
2005-06-30,"$2,418","$5,782","$7,228",$317,-,"$15,745",$628,-,"$1,534",$933,"$3,384","$19,129","$11,809",$992,-,"$1,585","$13,394",$3,"$3,346",$23,$-88,"$5,735","$19,129"
2005-03-31,"$1,800","$5,721","$7,495",$346,-,"$15,362",$616,-,"$1,529",$975,"$3,413","$18,775","$11,792","$1,202",-,"$1,708","$13,500",$3,"$3,194",$32,$-78,"$5,275","$18,775"
