,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2014-11-30,"$44,733","$4,326",$208,"$1,866",-,"$52,040","$3,169",-,"$40,550","$2,119","$46,265","$98,305","$11,985","$32,456","$5,902","$38,358","$50,343","$22,039","$25,972",$-468,-,"$47,962","$98,305"
2014-08-31,"$51,616","$3,551",$179,"$2,015",-,"$58,194","$3,086",-,"$35,312","$2,218","$41,532","$99,726","$13,377","$32,567","$5,851","$38,418","$51,795","$21,709","$25,838",$-193,-,"$47,931","$99,726"
2014-05-31,"$38,819","$6,087",$189,"$2,119",-,"$48,128","$3,061",-,"$35,789","$2,451","$42,138","$90,266","$14,389","$22,589","$5,841","$28,430","$42,819","$21,077","$25,965",$-164,-,"$47,447","$90,266"
2014-02-28,"$37,225","$4,071",$227,"$1,869",-,"$44,404","$3,052",-,"$35,880","$2,506","$42,158","$86,562","$13,092","$22,677","$5,558","$28,235","$41,327","$20,336","$24,606",$-235,-,"$45,235","$86,562"
2013-11-30,"$36,974","$4,192",$234,"$1,889",-,"$44,252","$3,039",-,"$34,790","$2,397","$40,986","$85,238","$13,110","$22,641","$5,421","$28,062","$41,172","$19,403","$24,386",$-226,-,"$44,066","$85,238"
2013-08-31,"$39,104","$3,450",$243,"$1,723",-,"$45,457","$3,052",-,"$34,879","$2,296","$40,949","$86,406","$14,526","$22,575","$5,319","$27,894","$42,420","$19,055","$24,830",$-344,-,"$43,986","$86,406"
2013-05-31,"$32,216","$6,049",$240,"$2,213",-,"$41,692","$3,053",-,"$33,983","$2,318","$40,120","$81,812","$12,872","$18,494","$5,301","$23,795","$36,667","$18,893","$25,854",$-99,-,"$45,145","$81,812"
2013-02-28,"$33,407","$4,169",$211,"$2,070",-,"$40,686","$3,034",-,"$32,764","$2,315","$38,764","$79,450","$11,916","$18,502","$5,242","$23,744","$35,660","$18,645","$24,549",$154,-,"$43,790","$79,450"
2012-11-30,"$33,695","$4,401",$164,"$1,976",-,"$41,129","$3,093",-,"$32,331","$2,322","$38,528","$79,657","$12,347","$18,507","$5,393","$23,900","$36,247","$18,015","$24,746",$222,-,"$43,410","$79,657"
2012-08-31,"$31,607","$3,775",$148,"$1,729",-,"$38,172","$3,037",-,"$32,664","$2,138","$38,386","$76,558","$13,955","$13,521","$5,346","$18,867","$32,822","$17,901","$25,117",$311,-,"$43,736","$76,558"
2012-05-31,"$30,676","$6,377",$158,"$1,935",-,"$40,023","$3,021",-,"$33,018","$1,670","$38,304","$78,327","$15,388","$13,524","$5,328","$18,852","$34,240","$17,489","$26,087",$112,-,"$44,087","$78,327"
2012-02-29,"$29,742","$4,656",$172,"$1,678",-,"$37,538","$2,936",-,"$31,274","$1,636","$36,823","$74,361","$11,632","$14,777","$4,686","$19,463","$31,095","$17,341","$25,116",$416,-,"$43,266","$74,361"
2011-11-30,"$31,012","$4,434",$218,"$1,579",-,"$38,482","$2,900",-,"$29,146","$1,260","$34,428","$72,910","$11,072","$14,778","$4,793","$19,571","$30,643","$17,245","$24,383",$292,-,"$42,267","$72,910"
2011-08-31,"$31,660","$4,194",$259,"$1,831",-,"$39,206","$2,930",-,"$29,493","$1,078","$34,653","$73,859","$13,056","$14,789","$4,775","$19,564","$32,620","$16,915","$23,385",$592,-,"$41,239","$73,859"
2011-05-31,"$28,848","$6,628",$303,"$2,206",-,"$39,174","$2,857",-,"$29,413","$1,015","$34,361","$73,535","$14,192","$14,772","$4,326","$19,098","$33,290","$16,653","$22,581",$542,-,"$40,245","$73,535"
2011-02-28,"$24,355","$4,495",$276,"$2,140",-,"$32,459","$2,894",-,"$29,749","$1,045","$35,207","$67,666","$11,282","$14,752","$4,223","$19,325","$30,607","$16,131","$20,059",$427,-,"$37,059","$67,666"
2010-11-30,"$24,845","$4,406",$236,"$2,017",-,"$32,723","$2,870",-,"$29,415","$1,015","$34,520","$67,243","$13,336","$14,780","$3,927","$19,057","$32,393","$15,663","$18,422",$327,-,"$34,850","$67,243"
2010-08-31,"$23,637","$3,721",$235,"$1,529",-,"$30,264","$2,835",-,"$30,025","$1,012","$34,991","$65,255","$13,800","$14,778","$3,816","$18,943","$32,743","$14,923","$17,027",$156,-,"$32,512","$65,255"
2010-05-31,"$18,469","$5,585",$259,"$1,532",-,"$27,004","$2,763",-,"$29,746",$798,"$34,574","$61,578","$14,691","$11,510","$1,059","$15,688","$30,379","$14,648","$16,146",$4,-,"$31,199","$61,578"
2010-02-28,"$17,489","$3,898",$315,"$1,299",-,"$23,979","$2,869",-,"$30,283","$2,255","$35,407","$59,386","$14,251","$11,498","$4,447","$16,284","$30,535","$13,973","$14,257",$246,-,"$28,851","$59,386"
2009-11-30,"$20,784","$3,086",-,$662,-,"$25,235","$1,956",-,"$25,682",$960,"$28,598","$53,833","$8,534","$13,751","$3,282","$17,384","$25,918","$13,529","$13,541",$461,-,"$27,915","$53,833"
2009-08-31,"$20,565","$2,584",-,$586,-,"$24,445","$1,924",-,"$25,753",$876,"$28,553","$52,998","$9,160","$13,723","$3,163","$17,351","$26,511","$13,319","$12,563",$261,-,"$26,487","$52,998"
2009-05-31,"$12,624","$4,430",-,$866,-,"$18,581","$1,922",-,"$26,111",$802,"$28,835","$47,416","$9,149","$9,237",$682,"$12,822","$21,971","$12,980","$11,894",$216,-,"$25,445","$47,416"
2009-02-28,"$11,294","$3,025",-,$657,-,"$15,611","$1,914",-,"$26,346","$1,078","$29,338","$44,949","$7,972","$10,236","$2,722","$13,900","$21,872","$12,758","$10,468",$-149,-,"$23,077","$44,949"
2008-11-30,"$10,646","$3,253",-,$605,-,"$15,138","$1,907",-,"$26,688","$1,069","$29,664","$44,802","$7,963","$10,236","$2,720","$14,018","$21,981","$12,743","$10,177",$-99,-,"$22,821","$44,802"
2008-08-31,"$13,021","$3,260",-,$665,-,"$17,851","$1,886",-,"$26,413","$1,103","$29,402","$47,253","$9,247","$10,236","$2,740","$14,190","$23,437","$12,828","$10,593",$395,-,"$23,816","$47,253"
2008-05-31,"$11,043","$5,127",-,"$1,080",-,"$18,103","$1,688",-,"$26,386","$1,091","$29,165","$47,268","$10,029","$10,235","$1,195","$14,214","$24,243","$12,446","$9,961",$618,-,"$23,025","$47,268"
2008-02-29,"$10,506","$3,655",-,$606,-,"$15,731","$1,570",-,"$19,083",$675,"$21,585","$37,316","$6,830","$6,237","$2,435","$9,671","$16,501","$11,847","$8,368",$600,-,"$20,815","$37,316"
2007-11-30,"$8,432","$3,637",-,$520,-,"$13,558","$1,655",-,"$19,346",$682,"$22,095","$35,653","$6,549","$6,236","$2,265","$9,809","$16,358","$11,256","$7,478",$561,-,"$19,295","$35,653"
2007-08-31,"$7,743","$3,019",-,$430,-,"$12,173","$1,633",-,"$19,479",$645,"$22,142","$34,315","$6,797","$6,236","$2,106","$9,733","$16,530","$10,759","$6,619",$407,-,"$17,785","$34,315"
2007-05-31,"$7,020","$4,589",-,$306,-,"$12,883","$1,603",-,"$19,443",$643,"$21,689","$34,572","$9,387","$6,235",$817,"$8,266","$17,653","$10,293","$6,223",$403,-,"$16,919","$34,572"
2007-02-28,"$6,445","$3,148",-,$286,-,"$10,664","$1,465",-,"$16,648",$592,"$18,705","$29,369","$6,330","$5,736",$505,"$7,248","$13,578","$10,004","$5,511",$276,-,"$15,791","$29,369"
2006-11-30,"$7,825","$2,836",-,$295,-,"$11,662","$1,446",-,"$15,241",$578,"$17,265","$28,927","$6,096","$5,735",$491,"$7,317","$13,413","$9,874","$5,367",$273,-,"$15,514","$28,927"
2006-08-31,"$8,298","$2,347",-,$321,-,"$11,691","$1,437",-,"$15,169",$551,"$17,157","$28,848","$6,698","$5,737",$504,"$7,251","$13,949","$9,362","$5,295",$242,-,"$14,899","$28,848"
2006-05-31,"$7,605","$3,420",-,$235,-,"$11,974","$1,391",-,"$14,337","$1,327","$17,055","$29,029","$6,930","$5,735",$674,"$7,087","$14,017","$9,246","$5,538",$258,-,"$15,012","$29,029"
2006-02-28,"$7,764","$2,465",-,$232,-,"$11,199","$1,375",-,"$14,778","$1,072","$17,265","$28,464","$5,866","$5,741",$904,"$7,555","$13,421","$9,038","$5,828",$219,-,"$15,043","$28,464"
2005-11-30,"$3,403","$2,205",-,$187,-,"$6,266","$1,366",-,"$10,635","$1,028","$13,080","$19,346","$5,563",$156,$473,"$1,668","$7,231","$6,887","$5,063",$194,-,"$12,115","$19,346"
2005-08-31,"$4,632","$1,847",-,$234,-,"$7,189","$1,404",-,"$10,555",$416,"$12,407","$19,596","$6,547",$157,$475,"$1,718","$8,265","$6,792","$4,334",$242,-,"$11,331","$19,596"
2005-05-31,"$4,771","$2,900",-,$291,-,"$8,448","$1,442",-,"$10,376",$421,"$12,239","$20,687","$8,063",$159,$492,"$1,787","$9,850","$6,596","$4,043",$243,-,"$10,837","$20,687"
2005-02-28,"$9,132","$2,100",-,$345,-,"$11,921","$1,471",-,"$9,944",$431,"$11,846","$23,767","$12,237",$159,$480,"$1,660","$13,897","$6,372","$3,245",$322,-,"$9,870","$23,767"
