,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2014-03-31,"$3,611","$13,120",-,"$1,000","$5,187","$24,089","$112,809","$3,613","$135,819","$9,010","$261,251","$285,340","$39,830","$71,575","$16,089","$154,141","$193,971","$6,495","$32,402","$7,666",-,"$91,369","$285,340"
2013-12-31,"$3,339","$12,918",-,$960,"$4,780","$23,196","$110,968","$3,860","$131,485","$8,278","$254,591","$277,787","$34,995","$69,290","$15,766","$151,310","$186,305","$6,495","$31,141","$7,880",-,"$91,482","$277,787"
2013-09-30,"$1,371","$12,444",-,"$1,022","$2,916","$18,435","$112,424","$3,949","$132,214","$7,577","$256,164","$274,599","$36,183","$68,350","$11,234","$152,286","$188,469","$6,495","$26,648","$5,282",-,"$86,130","$274,599"
2013-06-30,"$4,548","$12,508",-,"$1,038","$2,381","$21,428","$110,734","$3,888","$129,468","$6,575","$250,665","$272,093","$31,189","$71,917","$11,278","$154,589","$185,778","$6,495","$25,212","$5,107",-,"$86,315","$272,093"
2013-03-31,"$3,875","$12,100",-,"$1,021","$2,396","$20,372","$109,702","$4,998","$129,491","$6,431","$250,622","$270,994","$29,786","$70,686","$11,603","$152,870","$182,656","$6,495","$23,787","$5,344",-,"$88,338","$270,994"
2012-12-31,"$4,868","$12,657",-,"$1,035","$3,110","$22,706","$109,767","$4,581","$128,548","$6,713","$249,609","$272,315","$31,787","$66,358","$11,592","$147,833","$179,620","$6,495","$22,481","$5,236",-,"$92,695","$272,315"
2012-09-30,"$2,217","$12,398",-,"$1,337","$1,694","$18,958","$108,217","$4,563","$128,504","$6,607","$247,891","$266,849","$30,798","$60,314","$11,529","$134,777","$165,575","$6,495","$28,907","$3,106",-,"$101,274","$266,849"
2012-06-30,"$2,151","$12,430",-,"$1,533","$1,624","$19,156","$107,483","$4,388","$128,670","$6,597","$247,138","$266,294","$29,702","$61,132","$11,849","$133,013","$162,715","$6,495","$27,788","$2,939",-,"$103,579","$266,294"
2012-03-31,"$2,442","$13,167",-,"$1,706","$1,987","$20,765","$107,231","$4,302","$130,299","$6,759","$248,591","$269,356","$32,520","$58,934","$12,466","$131,649","$164,169","$6,495","$26,446","$3,386",-,"$105,187","$269,356"
2011-12-31,"$3,045","$13,231",-,"$1,102","$4,137","$22,985","$107,087","$3,718","$130,185","$6,467","$247,457","$270,442","$30,892","$61,300","$12,694","$133,753","$164,645","$6,495","$25,453","$3,180",-,"$105,797","$270,442"
