,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2014-06-30,"$3,476","$3,280",$741,$339,-,"$8,390","$2,818",-,"$12,468","$1,495","$16,961","$25,351","$5,414","$5,927",$922,"$9,669","$15,083",$209,"$12,945","$-2,886",-,"$10,268","$25,351"
2014-03-31,"$3,885","$3,234",$781,$165,-,"$8,604","$2,793",-,"$12,468","$1,471","$16,931","$25,535","$5,271","$5,927",$894,"$9,695","$14,966",$215,"$12,983","$-2,921",-,"$10,569","$25,535"
2013-12-31,"$5,150","$2,685",$698,$350,-,"$9,488","$2,806",-,"$12,438","$1,440","$16,893","$26,381","$5,815","$5,928","$1,064","$9,946","$15,761",$218,"$12,538","$-2,984",-,"$10,620","$26,381"
2013-09-30,"$4,944","$3,003",$784,$264,-,"$9,591","$2,763",-,"$12,438","$1,339","$17,814","$27,405","$5,762","$5,928",$985,"$12,287","$18,049",$224,"$12,196","$-4,543",-,"$9,356","$27,405"
2013-06-30,"$4,904","$3,124",$745,$240,-,"$9,564","$2,783",-,"$12,437","$1,295","$17,944","$27,508","$5,639","$5,929",$956,"$12,311","$17,950",$231,"$11,838","$-4,635",-,"$9,558","$27,508"
2013-03-31,"$3,183","$3,050",$930,$159,-,"$7,846","$2,829",-,"$12,437","$1,292","$18,068","$25,914","$5,555","$3,937",$928,"$10,890","$16,445",$235,"$11,496","$-4,723",-,"$9,469","$25,914"
2012-12-31,"$3,862","$2,858",$798,$300,-,"$8,392","$2,887",-,"$12,431","$1,291","$18,151","$26,543","$6,056","$3,930",$958,"$10,973","$17,029",$239,"$11,138","$-4,787",-,"$9,514","$26,543"
2012-09-30,"$3,525","$2,973",$627,$217,-,"$7,902","$2,895",-,"$12,373","$1,412","$17,360","$25,262","$5,690","$3,931",$940,"$8,625","$14,315",$246,"$10,739","$-3,334",-,"$10,947","$25,262"
2012-06-30,"$3,148","$3,119",$704,$225,-,"$7,700","$2,935",-,"$12,344","$1,409","$17,526","$25,226","$5,608","$3,932",$904,"$8,903","$14,511",$248,"$10,419","$-3,395",-,"$10,715","$25,226"
2012-03-31,"$2,682","$3,231",$804,$177,-,"$7,360","$2,993",-,"$12,374","$1,431","$17,693","$25,053","$5,594","$3,933",$905,"$8,918","$14,512",$252,"$10,077","$-3,434",-,"$10,541","$25,053"
2011-12-31,"$3,002","$2,964",$873,$411,-,"$7,746","$3,047",-,"$12,374","$1,344","$17,665","$25,411","$6,135","$3,935",$926,"$8,940","$15,075",$254,"$9,699","$-3,490",-,"$10,336","$25,411"
2011-09-30,"$2,946","$3,328",$884,$135,-,"$7,686","$3,010",-,"$12,540","$1,022","$17,414","$25,100","$5,721","$3,936",$901,"$7,428","$13,149",$266,"$9,401","$-2,176",-,"$11,951","$25,100"
2011-06-30,"$2,810","$3,474",$902,$163,-,"$7,814","$3,028",-,"$12,550","$1,086","$17,563","$25,377","$5,795","$3,937",$899,"$7,433","$13,228",$278,"$9,018","$-2,173",-,"$12,149","$25,377"
2011-03-31,"$4,019","$3,563",$859,$213,-,"$9,071","$3,046",-,"$12,559","$1,090","$17,719","$26,790","$6,161","$3,939",$916,"$7,952","$14,113",$293,"$8,637","$-2,187",-,"$12,677","$26,790"
2010-12-31,"$3,701","$3,329",$896,$244,"$5,212","$13,774","$3,045",-,"$12,568","$1,075","$17,636","$31,410","$10,027","$3,940",$918,"$7,947","$17,974",$291,"$8,124","$-2,757",-,"$13,436","$31,410"
2010-09-30,"$2,528","$4,172","$1,193",$392,-,"$9,003","$4,767",-,"$14,318","$1,110","$21,173","$30,176","$7,763","$3,437","$1,271","$9,219","$16,982",$292,"$8,005","$-2,930",-,"$13,194","$30,176"
2010-06-30,"$2,044","$4,160","$1,148",$384,-,"$8,384","$4,763",-,"$14,340","$1,055","$21,310","$29,694","$7,666","$3,438","$1,200","$9,125","$16,791",$295,"$7,646","$-2,987",-,"$12,903","$29,694"
2010-03-31,"$1,961","$4,197","$1,289",$295,-,"$8,369","$4,797",-,"$14,363","$1,046","$21,393","$29,762","$7,488","$3,440","$1,471","$9,634","$17,122",$301,"$7,077","$-3,002",-,"$12,640","$29,762"
