,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2016-06-30,$679,"$1,152",-,$71,$57,"$1,959","$1,056",$179,"$2,420",$223,"$4,691","$6,650","$3,244","$4,057","$2,811","$6,868","$10,112",$5,"$5,185",$-173,-,"$-3,462","$6,650"
2016-03-31,$99,"$1,143",-,$79,$103,"$1,424","$1,042",$169,"$2,414",$234,"$4,697","$6,121","$3,247","$3,859","$2,682","$6,541","$9,788",$5,"$5,025",$-177,-,"$-3,667","$6,121"
2015-12-31,$96,"$1,103",-,$77,$108,"$1,384","$1,029",$165,"$2,394",$223,"$4,698","$6,082","$3,233","$3,807","$2,616","$6,439","$9,672",$5,"$4,878",$-196,-,"$-3,590","$6,082"
2015-09-30,$95,"$1,144",-,$58,$169,"$1,723",$985,$174,"$2,420",$247,"$4,430","$6,153","$3,509","$3,689","$2,544","$6,233","$9,742",$5,"$4,740",$-120,-,"$-3,589","$6,153"
2015-06-30,$140,"$1,188",-,$68,$201,"$1,906",$987,$216,"$2,414",$247,"$4,415","$6,321","$3,517","$3,303","$2,534","$5,837","$9,354",$5,"$4,573",$-88,-,"$-3,033","$6,321"
2015-03-31,$120,"$1,172",-,$64,$161,"$1,828","$1,446",$217,"$2,289",$400,"$4,975","$6,803","$3,030","$3,703","$2,607","$6,310","$9,340",$5,"$4,401",$-90,-,"$-2,537","$6,803"
2014-12-31,$104,"$1,100",-,$64,$342,"$1,610","$1,460",$224,"$2,245",$260,"$5,223","$6,833","$3,038","$3,447","$2,548","$5,995","$9,033",$5,"$4,286",$-70,-,"$-2,200","$6,833"
2014-09-30,$150,"$1,030",-,$54,$111,"$1,552","$1,736",$234,"$2,236",$277,"$5,295","$6,847","$2,738","$3,521","$2,430","$5,951","$8,689",$5,"$4,156",$-53,-,"$-1,842","$6,847"
2014-06-30,$192,"$1,057",-,$58,$28,"$1,537","$1,647",$229,"$2,228",$352,"$5,293","$6,830","$2,690","$3,397","$2,463","$5,860","$8,550",$5,"$4,030",$-39,-,"$-1,720","$6,830"
2014-03-31,$184,"$1,035",-,$59,$52,"$1,565","$1,569",$222,"$2,000",$541,"$5,100","$6,665","$2,596","$3,295","$2,399","$5,694","$8,290",$5,"$3,917",$-41,-,"$-1,625","$6,665"
2013-12-31,$126,"$1,081",-,$67,$377,"$1,903","$1,543",$222,"$2,005",$332,"$4,891","$6,794","$2,675","$3,147","$2,387","$5,534","$8,209",$5,"$3,837",$-44,-,"$-1,415","$6,794"
2013-09-30,$144,$972,-,$57,$256,"$1,646","$1,489",$228,"$1,989",$320,"$4,834","$6,480","$2,422","$3,104","$2,363","$5,467","$7,889",$5,"$3,763",$-49,-,"$-1,409","$6,480"
2013-06-30,$108,"$1,006",-,$60,$24,"$1,404","$1,634",$228,"$1,991",$303,"$4,973","$6,377","$2,467","$3,037","$2,366","$5,403","$7,870",$5,"$3,662",$-54,-,"$-1,493","$6,377"
2013-03-31,$221,"$1,080",$11,$56,$11,"$1,626","$1,574",$230,"$1,993",$257,"$4,897","$6,523","$2,358","$3,206","$2,336","$5,542","$7,900",$5,"$3,549",$-46,-,"$-1,377","$6,523"
2012-12-31,$88,"$1,028",-,$57,$22,"$1,475","$1,539",$216,"$1,989",$267,"$4,867","$6,342","$2,773","$2,528","$2,326","$4,854","$7,627",$5,"$3,509",$-44,-,"$-1,285","$6,342"
2012-09-30,$105,$841,$11,$45,$10,"$1,158","$1,421",$217,"$1,772",$275,"$4,707","$5,865","$2,690","$2,101","$2,370","$4,471","$7,161",$5,"$3,434",$-49,-,"$-1,296","$5,865"
2012-06-30,$105,$939,$12,$48,$70,"$1,355","$1,383",$223,"$1,720",$283,"$4,652","$6,007","$2,642","$2,153","$2,336","$4,489","$7,131",$5,"$3,335",$-53,-,"$-1,124","$6,007"
2012-03-31,$290,$863,$12,$62,$7,"$1,464","$1,367",$268,"$1,727",$273,"$4,707","$6,171","$2,906","$1,772","$2,341","$4,113","$7,019",$5,"$3,249",$-38,-,$-848,"$6,171"
2011-12-31,$102,$875,$11,$54,-,"$1,324","$1,168",$265,"$1,721",$261,"$4,586","$5,910","$2,558","$1,816","$2,317","$4,133","$6,691",$5,"$3,212",$-48,-,$-781,"$5,910"
2011-09-30,$220,"$1,011","$1,029",$85,$99,"$2,678","$1,480",$271,"$1,716",$213,"$5,787","$8,465","$3,100","$2,623","$2,312","$4,935","$8,035",$5,"$3,165",$-16,-,$430,"$8,465"
2011-06-30,$117,"$1,006","$1,365",$93,$120,"$2,938","$1,483",$278,"$1,719",$336,"$5,853","$8,791","$2,917","$2,440","$2,298","$4,738","$7,655",$5,"$3,401",$-11,-,"$1,136","$8,791"
2011-03-31,$144,$944,"$1,459",$104,$107,"$2,999","$1,412",$313,"$1,677",$224,"$5,761","$8,760","$2,423","$2,720","$2,231","$4,951","$7,374",$5,"$3,310",$2,-,"$1,386","$8,760"
2010-12-31,$505,$938,"$1,489",$81,$123,"$3,382","$1,307",$250,"$1,643",$205,"$5,601","$8,983","$2,501","$2,691","$2,206","$4,897","$7,398",$5,"$3,286",$-2,-,"$1,585","$8,983"
2010-09-30,$223,$931,"$1,455",$74,$155,"$3,061","$1,327",$245,"$1,623",$188,"$5,728","$8,789","$2,496","$2,600","$2,338","$4,938","$7,434",$5,"$3,191",$6,-,"$1,355","$8,789"
2010-06-30,$100,$956,"$1,467",$93,$93,"$2,951","$1,335",$245,"$1,610",$202,"$5,696","$8,647","$2,351","$2,769","$2,303","$5,072","$7,423",$5,"$3,130",$-5,-,"$1,224","$8,647"
2010-03-31,$118,$946,"$1,503",$110,$84,"$3,015","$1,339",$243,"$1,618",$219,"$5,778","$8,793","$2,313","$3,124","$2,286","$5,410","$7,723",$5,"$3,038",-,-,"$1,070","$8,793"
2009-12-31,$115,$838,"$1,444",$68,$131,"$2,851","$1,362",$249,"$1,606",$393,"$5,082","$7,933","$2,287","$2,234","$2,270","$4,504","$6,791",$5,"$3,103",$13,-,"$1,142","$7,933"
2009-09-30,$130,$908,"$1,465",$78,$125,"$2,963","$1,371",$257,"$1,609",$443,"$5,304","$8,267","$2,491","$2,523","$2,268","$4,791","$7,282",$5,"$3,038",$8,-,$985,"$8,267"
2009-06-30,$125,$863,"$2,001",$96,$138,"$3,398","$1,455",$326,"$1,591",$451,"$5,345","$8,743","$2,405","$2,713","$2,206","$4,919","$7,324",$5,"$3,540",$-4,$31,"$1,419","$8,743"
2009-03-31,$168,$832,"$1,994",-,$268,"$3,437","$1,449",$311,"$1,587",$446,"$5,267","$8,704","$2,406","$2,834","$2,127","$4,961","$7,367",$5,"$3,541",$-27,-,"$1,337","$8,704"
2008-12-31,$134,$898,"$1,981",-,$207,"$3,406","$1,443",$346,"$1,585",$566,"$5,497","$8,903","$2,533","$2,975","$2,004","$4,979","$7,512",$5,"$3,565",$-15,-,"$1,391","$8,903"
2008-09-30,$117,"$1,091","$1,892",-,$317,"$3,607","$1,394",$329,"$1,642",$654,"$5,497","$9,104","$2,666","$3,002","$1,994","$5,010","$7,676",$5,"$3,610",$48,-,"$1,428","$9,104"
2008-06-30,$125,"$1,120","$1,824",-,$348,"$3,612","$1,372",$326,"$1,633",$689,"$5,400","$9,012","$2,560","$3,006","$2,011","$5,017","$7,577",$5,"$3,549",$71,-,"$1,435","$9,012"
2008-03-31,$314,"$1,118","$1,718",-,$334,"$3,705","$1,338",$324,"$1,569",$646,"$5,403","$9,108","$2,564","$3,340","$1,884","$5,224","$7,788",$5,"$3,430",$50,-,"$1,320","$9,108"
2007-12-31,$332,"$1,148","$1,557",-,$297,"$3,572","$1,329",$364,"$1,556",$688,"$5,370","$8,942","$2,876","$2,790","$1,814","$4,637","$7,513",$5,"$3,332",$51,-,"$1,429","$8,942"
2007-09-30,$208,"$1,239","$1,499",-,$522,"$3,714","$1,319",$306,"$1,544",$663,"$5,396","$9,110","$2,928","$2,701","$1,830","$4,531","$7,459",$5,"$3,188",$32,-,"$1,651","$9,110"
2007-06-30,$151,"$1,254","$1,291",-,$850,"$3,773","$1,085",$378,"$1,515",$687,"$5,146","$8,919","$3,106","$2,065","$1,777","$3,842","$6,948",$5,"$3,094",$45,-,"$1,971","$8,919"
2007-03-31,$124,"$1,198","$1,172",-,$686,"$3,399","$1,272",$383,"$1,500",$633,"$5,344","$8,743","$2,544","$2,311","$1,666","$3,977","$6,521",$5,"$2,927",$31,-,"$2,222","$8,743"
2006-12-31,$191,"$1,060","$1,186",-,$591,"$3,319","$1,233",$745,"$1,496",$735,"$5,269","$8,588","$2,522","$1,818","$1,630","$3,448","$5,970",$5,"$2,860",$44,-,"$2,618","$8,588"
2006-09-30,$136,"$1,124","$1,184",-,$558,"$3,236","$1,031",$410,"$1,474",$716,"$5,078","$8,314","$2,371","$1,622","$1,619","$3,241","$5,612",$5,"$2,704",$25,-,"$2,702","$8,314"
2006-06-30,$364,"$1,049","$1,124",-,$592,"$3,365","$1,085",$395,"$1,466",$706,"$5,008","$8,373","$2,273","$1,549","$1,592","$3,141","$5,414",$5,"$2,598",$14,-,"$2,959","$8,373"
2006-03-31,$172,"$1,055","$1,138",-,$804,"$3,461","$1,114",$563,"$1,455",$693,"$5,219","$8,680","$2,232","$1,865","$1,539","$3,404","$5,636",$3,"$2,441",$-2,-,"$3,044","$8,680"
2005-12-31,$203,"$1,001","$1,164",-,$802,"$3,390","$1,134",$582,"$1,390",$685,"$5,140","$8,530","$2,133","$1,681","$1,464","$3,145","$5,278",$5,"$2,500",$-11,-,"$3,252","$8,530"
2005-09-30,$161,$914,-,-,$710,"$1,969","$2,504",$479,"$1,370",$675,"$6,646","$8,615","$2,170","$1,602","$1,529","$3,142","$5,312",$3,"$2,291",$-11,-,"$3,303","$8,615"
2005-06-30,$471,$993,-,-,$235,"$1,858","$2,497",$479,"$1,364",$698,"$6,606","$8,464","$2,109","$1,207","$1,481","$2,702","$4,811",$3,"$2,172",$-1,-,"$3,653","$8,464"
2005-03-31,$377,$974,-,-,$220,"$1,733","$2,352",$239,"$1,441",$723,"$6,696","$8,429","$2,244",$835,"$1,405","$2,253","$4,497",$3,"$2,055",$7,-,"$3,932","$8,429"
