,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2016-09-30,2.7122,0.4812,0.9568,26.833,18.5941,18.5941,-,21.2396,19.8035,0.1511,1.4847,1.3164,68.3674,8.4418,11.4655,3.0376,4.3793,22.0043,2.176,1.7601
2016-06-30,2.2594,0.4468,0.8466,25.0185,17.9867,17.9867,-,20.3553,16.3583,0.1638,1.5928,1.3389,67.2169,7.3091,10.0496,2.7037,4.0435,21.0796,2.3871,1.9893
2016-03-31,2.2858,0.4453,0.8402,27.7778,20.4416,20.4416,-,22.6496,18.3048,0.1673,1.5202,1.3474,66.7949,8.328,11.4616,3.0744,4.6195,21.0121,1.9375,1.4649
2015-12-31,1.7981,0.4659,1.0537,19.4153,-22.8636,-22.8636,-,-20.2399,-22.3388,0.1554,1.5762,1.3461,66.8591,-10.6398,-15.0575,-3.5057,-5.6825,19.2735,0.8525,0.2921
2015-09-30,1.8443,0.4428,0.9396,21.4437,13.1635,13.1635,-,15.9236,11.3942,0.1586,1.5041,1.3799,65.2229,4.7232,6.401,1.6951,2.6316,21.7922,1.2167,0.486
2015-06-30,2.3052,0.4227,0.7676,25.3893,12.7285,12.7285,-,15.369,13.8795,0.1643,1.4462,1.3439,66.9668,5.825,7.6778,2.2586,3.3626,22.7268,1.8367,0.7659
2015-03-31,2.2561,0.4422,0.8328,26.2759,17.7241,17.7241,-,21.1035,16.2759,0.1681,1.4368,1.4328,62.8138,7.3148,9.8485,2.7127,4.0802,20.8744,1.7544,0.7017
2014-12-31,2.0164,0.4566,0.8847,25.2726,-3.4638,-3.4638,-,-1.9885,-5.3881,0.1772,1.4898,1.4962,60.154,-2.6966,-3.7779,-0.9436,-1.4654,20.1304,1.0304,-0.3209
2014-09-30,1.6843,0.457,1.0858,24.6467,17.524,17.524,-,19.6156,14.3019,0.1822,1.7289,1.4548,61.8655,8.1978,11.4324,2.6468,4.451,20.4059,2.4575,1.2167
2014-06-30,2.164,0.4815,0.9797,23.0639,14.641,14.641,-,19.8983,14.641,0.1895,1.6679,1.3864,64.918,8.3199,11.9059,2.7644,4.3137,19.9755,1.6264,0.8208
2014-03-31,2.1497,0.4966,1.0404,22.1701,14.2522,14.2522,-,16.0117,11.4956,0.1868,1.6262,1.3728,65.5601,6.6781,9.8634,2.1361,3.3615,18.7261,1.0458,0.102
2013-12-31,2.0595,0.5168,1.1352,22.7104,58.4158,58.4158,-,59.0965,40.4703,0.1792,1.5535,1.3355,67.3886,24.3053,37.2939,7.2743,11.7436,17.1977,0.9608,0.2604
2013-09-30,2.0213,0.5793,1.4846,21.1491,12.8973,12.8973,-,13.9364,10.5135,0.172,1.7131,1.3172,68.3252,8.2054,14.8696,1.7977,3.4518,13.2156,1.4737,0.7759
2013-06-30,2.0596,0.5903,1.5537,19.2982,10.2238,10.2238,-,12.5832,8.046,0.1773,1.8076,1.3672,65.8258,6.7003,12.5353,1.4267,2.7451,12.438,1.4303,0.9431
2013-03-31,2.2102,0.6172,1.6736,20.7477,11.4642,11.4642,-,13.5826,8.8474,0.177,1.6781,1.442,62.4112,7.6839,15.3595,1.5549,2.9412,11.4917,0.9176,0.4369
