,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2013-03-31,$506,$110,$217,$327,$-175,$-15,-,$22,$-56,$777,$-94,-,-,$-145,-,$-145,$7,$-232,$117,-,$117,$-289,$-289,$-290,-,$-462,$48,$32,$-290
2012-12-31,$636,$108,$84,$192,$185,$27,-,$1,$235,"$1,063",$-214,-,-,$-17,-,$-17,$-10,$-241,$-6,-,$-6,$-511,$-511,$-326,-,$-843,$-25,$22,$-326
2012-09-30,$697,$106,$98,$204,$-47,$-2,-,$-33,$39,$940,$-90,-,-,$-233,-,$-233,$20,$-303,$-119,-,$-119,$-251,$-251,$-358,-,$-728,$-86,$50,$-358
2012-06-30,$665,$105,$-99,$6,$-29,$-8,-,$10,$-140,$531,$-129,-,$-29,$-129,-,$-129,$7,$-280,$396,-,$396,$-346,$-346,$-315,-,$-265,$-49,$19,$-315
2012-03-31,$633,$106,$34,$140,$-90,$-38,-,$52,$-111,$662,$-60,-,-,$-19,-,$-19,$38,$-41,$170,-,$170,$-357,$-357,$-278,-,$-465,$166,$29,$-278
2011-12-31,$625,$106,$-53,$53,$-3,$17,-,$10,$161,$839,$-191,-,$6,$2,-,$2,$-32,$-215,$60,-,$60,$-383,$-383,$-353,-,$-676,$-67,$20,$-353
2011-09-30,$676,$113,$10,$123,$26,$1,-,$-4,$104,$903,$142,-,$-12,$-26,-,$-26,$9,$113,$-210,-,$-210,$-273,$-273,$-282,-,$-765,$206,$46,$-282
2011-06-30,$646,$103,$-62,$41,$4,$-63,-,$18,$-213,$474,$-147,-,$-960,$104,-,$104,$-37,"$-1,040","$1,172",-,"$1,172",$-249,$-249,$-307,-,$616,$53,$18,$-307
2011-03-31,$607,$99,$33,$132,$-157,$-85,-,$30,$-59,$680,$-78,-,-,$-13,-,$-13,$20,$-71,$392,-,$392,$-548,$-548,$-261,-,$-417,$196,$38,$-261
2010-12-31,$651,$98,$-6,$92,$96,$53,-,$46,$225,$968,$-193,-,-,$-24,-,$-24,$-3,$-220,$56,-,$56,$-597,$-597,$-338,-,$-879,$-164,$20,$-338
2010-09-30,$645,$93,$42,$135,$-21,$22,-,$49,$161,$941,$-111,-,-,$-104,-,$-104,$-8,$-223,$-3,-,$-3,$-344,$-344,$-284,-,$-631,$99,$41,$-284
2010-06-30,$630,$93,$40,$133,$64,$-29,-,$4,$-194,$569,$-123,-,-,$-6,-,$-6,$1,$-128,$281,-,$281,$-420,$-420,$-298,-,$-437,$-6,$19,$-298
2010-03-31,$387,$92,$346,$438,$-99,$-56,-,$36,$-92,$733,$-81,-,-,$-7,-,$-7,$1,$-87,$-38,-,$-38,$-417,$-417,$-222,-,$-677,$-39,$41,$-222
2009-12-31,$656,$89,$-101,$-12,$161,$34,-,$124,$258,$902,$-211,-,-,$-142,-,$-142,$-4,$-357,$-76,-,$-76,$-295,$-295,$-279,-,$-650,$-247,$20,$-279
2009-09-30,$617,$90,$18,$108,$-18,$8,-,$32,$439,"$1,164",$-137,-,$-12,$-127,-,$-127,$9,$-267,$-543,-,$-543,$-164,$-164,$-248,-,$-955,$-49,$41,$-248
2009-06-30,$588,$90,$-5,$85,$-71,$36,-,$-52,$-152,$521,$-137,-,$8,$-7,-,$-7,$1,$-135,$153,-,$153,$-112,$-112,$-251,-,$-210,$194,$17,$-251
2009-03-31,$536,$82,$86,$168,$-15,$-34,-,$32,$-14,$690,$-73,-,$4,$-13,-,$-13,-,$-82,$-60,-,$-60,$-192,$-192,$-203,-,$-455,$147,$39,$-203
2008-12-31,$577,$87,$-40,$47,$62,$41,-,$-165,$-99,$525,$-234,-,-,$9,-,$9,$-47,$-272,$172,-,$172,$-227,$-227,$-262,-,$-317,$-80,$18,$-262
2008-09-30,$499.7,$88.6,$21.4,$110,$0.5,$-40.8,-,$69,$130.9,$740.6,$-175.3,-,$-44.9,$1,-,$1,$49.2,$-170,$-139.1,-,$-139.1,$-184.1,$-184.1,$-217.3,-,$-540.5,$11.9,$39.3,$-217.3
2008-06-30,$493.8,$83.8,$21.1,$104.9,$-80.4,$-46.5,-,$41.3,$-132.2,$466.5,$-131.4,-,$32.1,$-9,-,$-9,$1.2,$-107.1,$47.9,-,$47.9,$-196.8,$-196.8,$-224.1,-,$-373,$-19.3,$15.6,$-224.1
2008-03-31,$466.5,$88.6,$41.5,$130.1,$-52.1,$-88.7,-,$7.7,$-26.7,$569.9,$-85.3,-,$12.8,$9,-,$9,$-0.4,$-63.9,$114.2,-,$114.2,$-228.1,$-228.1,$-185.6,-,$-299.5,$213.4,$27.1,$-185.6
2007-12-31,$414.5,$87.6,$-45.7,$41.9,$101,$7.4,-,$47.3,$156.9,$613.3,$-145.9,-,$-106.5,$-11,-,$-11,$39,$-224.4,$-119.5,-,$-119.5,$-227.1,$-227.1,$-247.6,-,$-594.2,$-199.9,$16.9,$-247.6
2007-09-30,$420.1,$85.3,$64.3,$149.6,$-61.5,$-16.9,-,$35.1,$170,$739.7,$-127.5,-,$-2.1,-,-,-,$-42.8,$-172.4,$-169.9,-,$-169.9,$-135.9,$-135.9,$-186.2,-,$-492,$81.5,$40.8,$-186.2
2007-06-30,$415.8,$80.1,$16.7,$96.8,$-50.7,$-20.7,-,$-49.4,$-101.5,$411.1,$-106.9,-,$2.4,-,-,-,$-7.2,$-111.7,$125.8,-,$125.8,$-161.4,$-161.4,$-197.4,-,$-233,$72.5,$19.6,$-197.4
2007-03-31,$486.6,$81,$-100.3,$-19.3,$-54.8,$-80.8,-,$24,$20.6,$487.9,$-92.7,-,$79.2,-,-,-,$-6,$-19.5,$-61.4,-,$-61.4,$-255.6,$-255.6,$-166.8,-,$-483.8,$-15.1,$32.7,$-166.8
2006-12-31,$401.2,$85.2,$-62.2,$23,$6.9,$10.4,-,$-17,$27.4,$451.6,$-165.2,-,$-2.9,$-1.2,-,$-1.2,$19.2,$-150.1,$33.7,-,$33.7,$-177.5,$-177.5,$-180.4,-,$-324.2,$-13.4,$25.2,$-180.4
2006-09-30,$344.1,$81.1,$87.9,$169,$-64.6,$-12.2,-,$22,$160.9,$674,$-115.1,-,$-92.9,-,-,-,$-10.3,$-218.3,$-6.6,-,$-6.6,$-207.1,$-207.1,$-167.5,-,$-381.2,$72.5,$40.7,$-167.5
2006-06-30,$283.6,$82.2,$110.4,$192.6,$-51.1,$-31.4,-,$-8.7,$-162.8,$313.4,$-85,-,$-104.2,-,-,-,$-7.3,$-196.5,$65.2,-,$65.2,$47,$47,$-178.3,-,$-66.1,$47.6,$22.2,$-178.3
2006-03-31,$324.5,$80.2,$56.5,$136.7,$-7.2,$-85.3,-,$35.1,$-78.7,$382.5,$-51.7,-,-,-,-,-,$-3.8,$-55.5,$46.8,-,$46.8,$-182.7,$-182.7,$-151.6,-,$-287.5,$42.1,$28.8,$-151.6
2005-12-31,$361.2,$81.9,$20.3,$102.2,$16.7,$27.4,-,$-23.4,$15.6,$479,$96.4,-,$-117,$-20,-,$-20,$-3.1,$-43.7,$-82,-,$-82,$-132.7,$-132.7,$-164.1,$-89.7,$-468.5,$-35.6,$11.3,$-164.1
2005-09-30,$347.2,$82.2,$-65.5,$16.7,$-14,$21.5,-,$8.5,$213.1,$577,$-98.6,-,$78.5,-,-,-,$7.2,$-12.9,$-309,-,$-309,$-122.2,$-122.2,$-151.9,-,$-583.1,$-15.8,$10.8,$-151.9
2005-06-30,$342.9,$82,$25.7,$107.7,$-7,$-22.8,-,$-42.5,$-147.2,$303.4,$-98.7,-,-,-,-,-,$-2.5,$-101.2,$168.6,-,$168.6,$-222.3,$-222.3,$-163.7,-,$-217.4,$-21.8,$8.8,$-163.7
2005-03-31,$300.1,$83.2,$55.1,$138.3,$-19.8,$-72.9,-,$43.7,$-13.4,$425,$-60.5,-,-,-,-,-,$-2.4,$-62.9,$144,-,$144,$-271.9,$-271.9,$-127.5,-,$-255.4,$94.3,$10.2,$-127.5
