,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2011-06-30,"$1,087",$372,$473,$845,"$-3,738","$-3,821","$13,555","$2,827","$8,823","$10,755",$-219,-,$-242,-,$798,$798,-,$337,"$1,603","$-3,004","$-1,401","$-1,439","$-5,296","$-1,968",$323,"$-8,342","$2,750",$473,"$-1,968"
2011-03-31,"$2,735",$594,"$1,512","$2,106",$568,"$8,286","$-9,671","$-2,124","$-2,941","$1,900",$-268,-,$-5,-,$385,$385,-,$112,$-848,"$2,841","$1,993","$-1,418","$-1,418",$-358,$666,$883,"$2,895","$1,512",$-358
2010-12-31,"$2,387",$731,"$1,835","$2,566","$5,262","$-10,186","$-4,635","$-3,876","$-13,435","$-8,482",$-319,-,$-25,-,$936,$936,$-800,$-208,"$2,115","$10,928","$13,043",$-871,$-871,$-360,$537,"$12,349","$3,659",$496,$-360
2010-09-30,"$1,898",$358,$945,"$1,303","$-3,725","$-2,463","$-3,265","$6,928","$-2,525",$676,$-433,-,$-26,-,$372,$372,-,$-87,$876,"$1,361","$2,237",$-712,$-712,$-361,"$1,775","$2,939","$3,528",$945,$-361
2010-06-30,$613,$440,$434,$874,$204,"$6,009","$5,056","$-2,803","$8,466","$9,953",$-153,-,$-54,-,$483,$483,-,$276,"$-4,874","$1,383","$-3,491",$112,$112,$-359,$-954,"$-4,692","$5,537",$434,$-359
2010-03-31,"$3,456",$375,"$2,160","$2,535","$-1,540","$1,463","$-1,793","$-11,625","$-13,495","$-7,504",$-250,-,$-699,-,$-17,$-17,-,$-966,$158,$213,$371,"$-2,131","$-2,131",$-363,$-634,"$-2,757","$-11,227","$2,160",$-363
2009-12-31,"$4,948",$394,$233,$627,"$2,264","$23,576","$-1,542","$-4,350","$19,948","$25,523",$-449,-,$-11,-,$199,$199,-,$-261,"$-7,508",$631,"$-6,877",$171,$171,$-355,"$-2,925","$-9,986","$15,276",$664,$-355
2009-09-30,"$3,188",$373,$438,$811,"$1,286","$2,649","$-8,086","$7,484","$3,333","$7,332",$-422,-,$-2,-,$-104,$-104,-,$-528,"$-2,667","$-3,376","$-6,043",$-904,$-904,$-355,"$1,336","$-5,966",$838,$438,$-355
2009-06-30,"$3,435",$527,$439,$966,"$-5,425","$23,138","$-19,907","$10,616","$8,422","$12,823",$-353,-,$-18,-,$512,$512,-,$141,"$-1,631","$-18,038","$-19,669","$5,866","$-3,708",$-950,"$-1,877","$-26,204","$-13,240",$439,$-950
2009-03-31,"$1,814",$649,$468,"$1,117","$8,140","$16,679","$-17,879","$-6,674",$266,"$3,197",$-250,-,$-190,-,$-473,$-473,-,$-913,"$6,251",$542,"$6,793",$25,$25,$-545,"$13,055","$19,328","$21,612",$468,$-545
2008-12-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008-11-30,"$-4,443","$-1,046","$-1,195","$-2,241","$-1,820","$91,456","$-82,244","$8,296","$15,688","$9,004","$1,459",-,"$2,517",-,$31,$31,-,"$4,007","$-18,480","$15,606","$-2,874","$1,771","$1,771",$587,"$-14,373","$-14,889","$-1,878","$-1,195",$587
2008-08-31,$845,$392,$301,$693,"$3,305","$-18,752","$27,328","$-8,331","$3,550","$5,088",$-481,-,$-318,-,$355,$355,-,$-444,"$-2,925",$21,"$-2,904",$-180,$213,$-587,$-512,"$-3,790",$854,$301,$-587
2008-05-31,"$2,087",$311,$414,$725,"$5,749","$-17,654","$12,690","$5,460","$6,245","$9,057",$-617,-,$-43,-,$50,$50,-,$-610,"$8,258","$-18,890","$-10,632",$-94,$-487,$201,"$3,162","$-7,756",$691,$414,$201
2008-02-29,"$1,511",$343,$480,$823,"$-7,234","$-55,050","$42,226","$-5,425","$-25,483","$-23,149",$-361,-,"$-2,156",-,$-436,$-436,-,"$-2,953","$13,147","$3,263","$16,410","$-1,497","$-1,497",$-201,"$11,723","$26,435",$333,$480,$-201
2007-11-30,"$3,215",$331,"$3,556","$3,887","$-1,735","$-42,754","$31,136","$1,033","$-12,320","$-5,218",$-609,-,$-515,-,"$1,597","$1,597",-,$473,"$9,862","$-6,861","$3,001","$-2,426","$-2,426",$-207,"$2,354","$2,722","$-2,023","$3,427",$-207
2007-08-31,"$2,854",$283,$325,$608,$-911,"$-78,070","$51,626","$4,835","$-22,520","$-19,058",$-414,-,$-754,-,"$2,477","$2,477",-,"$1,309","$21,597",$436,"$22,033","$-2,372","$-2,372",$-205,"$2,939","$22,395","$4,646",$325,$-205
