,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$568,$223,$189,$412,$-113,$181,$126,$-46,$257,"$1,237",$-165,-,"$-4,196",$-3,-,$-3,$12,"$-4,352",$-798,$-9,$-807,-,-,$-216,$-34,"$-1,057","$-4,140",$27,$-216
2020-09-30,$621,$198,$31,$229,$-204,$27,$8,$-87,$-21,$829,$-69,-,-,$2,-,$2,$-2,$-69,-,$-5,$-5,-,-,$-216,$-21,$-242,$544,$29,$-216
2020-06-30,$-83,$193,$194,$387,$467,$-59,$-97,$-47,$316,$620,$-109,-,$-3,$4,-,$4,$-9,$-117,"$2,293",$4,"$2,297",-,-,$-216,$-25,"$2,056","$2,575",$30,$-216
2020-03-31,$493,$198,$56,$254,$204,$-122,$63,$165,$-156,$591,$-144,-,$-23,$4,-,$4,-,$-163,$-500,$4,$-496,-,-,$-215,$-57,$-768,$-373,$56,$-215
2019-12-31,$725,$195,$197,$392,$-439,$14,$26,$-21,$-382,$735,$-199,-,$-521,-,-,-,$1,$-719,"$2,641",-,"$2,641",-,-,$-193,$-85,"$2,363","$2,389",$32,$-193
2019-09-30,$466,$194,$100,$294,$-52,$-129,$53,$-135,$-131,$629,$-163,-,$-21,$-2,-,$-2,-,$-186,-,$-13,$-13,-,-,$-195,$-17,$-225,$194,$32,$-195
2019-06-30,$480,$199,$159,$358,$-122,$-146,$-4,$-47,$-324,$514,$-165,-,$-80,$-2,-,$-2,-,$-247,-,$18,$18,-,-,$-195,$-11,$-188,$80,$28,$-195
2019-03-31,$412,$190,$72,$262,$50,$-139,$-12,$-103,$-361,$313,$-122,-,$-180,$-1,-,$-1,-,$-303,"$-1,341",$-12,"$-1,353",$-307,$-307,$-195,$-92,"$-1,947","$-1,942",$35,$-195
2018-12-31,"$2,068",$176,"$-1,513","$-1,337",$-179,$60,$59,$-29,$315,"$1,046",$-154,-,"$-1,681",$209,-,$209,$-2,"$-1,628","$2,462",$7,"$2,469",-,-,$-175,$-14,"$2,280","$1,698",$32,$-175
2018-09-30,$590,$185,$29,$214,$4,$-151,$-8,$3,$-186,$618,$-140,-,$-3,$-13,-,$-13,-,$-156,-,$-1,$-1,-,-,$-176,$-2,$-179,$277,$30,$-176
2018-06-30,$452,$186,$38,$224,$-24,$-150,$32,$94,$-27,$649,$-157,-,$-63,$-4,-,$-4,-,$-224,$-600,$-106,$-706,-,-,$-176,$-35,$-917,$-538,$28,$-176
2018-03-31,$443,$176,$36,$212,$139,$-144,$33,$-128,$-358,$297,$-121,-,$-704,$-24,-,$-24,-,$-849,$595,$99,$694,$-300,$-300,$-176,$-73,$145,$-363,$29,$-176
