,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$795.2,$22.9,$18,$40.9,-,-,-,"$-1,342.8","$-1,088.2",$-252.1,$-70.7,-,$-23,-,$2.1,$2.1,$0.2,$-91.4,$94,-,$94,$-53.8,$-53.8,$-73,$-188.9,$-221.7,$-565.2,$21.7,$-73
2020-09-30,$831.2,$25.4,$37.6,$63,-,-,-,$-214.1,$-61.5,$832.7,$-66.4,-,$-1.2,-,$1.9,$1.9,-,$-65.7,$-3.6,-,$-3.6,-,-,$-63.7,$-32.3,$-99.6,$667.4,$18.6,$-63.7
2020-06-30,$632.9,$20.6,$17.6,$38.2,-,-,-,$52,$312.9,$984,$-59.8,-,$-2.9,-,-,-,$-3.1,$-65.8,$-5.6,-,$-5.6,-,-,$-63.9,$-13.3,$-82.8,$835.4,$21.3,$-63.9
2020-03-31,$483.9,$22.5,$4.3,$26.8,-,-,-,$-850.1,$-792,$-281.3,$-12.4,-,$-4.9,-,$0.5,$0.5,-,$-16.8,$176.7,-,$176.7,$-197.3,$-197.3,$-64.1,$324.2,$239.5,$-58.6,$21.3,$-64.1
2019-12-31,$432.5,$22.1,$-4,$18.1,-,-,-,$-659,$-564.4,$-113.8,$-18.4,-,$-0.7,-,$1.9,$1.9,$-0.6,$-17.8,$495.7,-,$495.7,$-163.1,$-163.1,$-65,$-54.1,$213.5,$81.9,$16.6,$-65
2019-09-30,$503.9,$22.4,$40.7,$63.1,-,-,-,$266.8,$244.4,$811.4,$-62.5,-,$-4.9,-,-,-,$-0.3,$-67.7,$-150,-,$-150,$-17.6,$-17.6,$-55.5,$108.1,$-115,$628.7,$19.3,$-55.5
2019-06-30,$473.6,$21.3,$13.7,$35,-,-,-,$-55.1,$33.8,$542.4,$-3.5,-,$-1.3,-,-,-,$-0.4,$-5.2,$-291.9,-,$-291.9,$-145.3,$-145.3,$-56.2,$110.3,$-383.1,$154.1,$18,$-56.2
2019-03-31,$354.4,$19.7,$11.1,$30.8,-,-,-,$-444.7,$-473.8,$-88.6,$6.9,-,$-16.6,-,-,-,$-1,$-10.7,$-18.2,-,$-18.2,$-75.6,$-75.6,$-59.1,$215.1,$62.2,$-37.1,$17.8,$-59.1
2018-12-31,$286.7,$19.5,$27.9,$47.4,-,-,-,$-796,$-707.2,$-373.1,$-21.2,-,$-293,-,$4.4,$4.4,$-0.6,$-310.4,$302.2,-,$302.2,$-140.6,$-140.6,$-56.5,$-159.3,$-54.2,$-737.7,$18.1,$-56.5
2018-09-30,$468.9,$19.4,$25.5,$44.9,-,-,-,$-298.6,$-275.1,$238.7,$3.6,-,$-1.1,-,$2.1,$2.1,$6.9,$11.5,$-3,-,$-3,$-52.6,$-52.6,$-48.1,$122.6,$18.9,$269.1,$9.5,$-48.1
2018-06-30,$453.7,$17.4,$39.2,$56.6,-,-,-,$-225.1,$-105,$405.3,$-23.4,-,-,-,$0.3,$0.3,$-0.8,$-23.9,$-176.3,-,$-176.3,$-27,$-27,$-47.4,$40,$-210.7,$170.7,$15.3,$-47.4
2018-03-31,$350.9,$18.1,$64.7,$82.8,-,-,-,$-418.2,$-457.5,$-23.8,$194,-,$-1.7,-,$0.2,$0.2,$-0.1,$192.4,$-127,-,$-127,$-22.5,$-22.5,$-47.4,$120.5,$-76.4,$92.2,$17.4,$-47.4
2017-12-31,$188.8,$17.4,$128.1,$145.5,-,-,-,$-434.1,$-409.3,$-75,$-19.6,-,$-156.4,-,$14.9,$14.9,$0.1,$-161,$288.1,-,$288.1,$-25.4,$-25.4,$-48.7,$-28.3,$185.7,$-50.3,$13.6,$-48.7
2017-09-30,$313.3,$15.4,$68.4,$83.8,-,-,-,$283.6,$228.8,$625.9,$-53.8,-,-,-,-,-,$10.8,$-43,$-5.9,-,$-5.9,-,-,$-37.4,$-37.2,$-80.5,$502.4,$18.8,$-37.4
2017-06-30,$289,$14.4,$85.8,$100.2,-,-,$3.5,$-572.2,$-439.2,$-50,$-46,-,-,-,-,-,$-1.6,$-47.6,$-350.9,-,$-350.9,$-69.3,$-69.3,$-37.5,$74.5,$-383.2,$-480.8,$14.3,$-37.5
2017-03-31,$229.2,$14.2,$38.9,$53.1,-,$-2.3,$-3.5,$-356.1,$-389.8,$-107.5,$-35.3,-,-,-,-,-,$-6.8,$-42.1,$-0.2,-,$-0.2,$8.7,$8.7,$-37.4,$21.4,$-7.5,$-157.1,$16.8,$-37.4
2016-12-31,$206.9,$15.7,$17.1,$32.8,-,$2.3,-,$-298.1,$-267.9,$-28.2,$-22.2,-,$-4.1,-,-,-,$-5,$-31.3,$-0.3,-,$-0.3,-,-,$-37.3,$-55.8,$-93.4,$-152.9,$9.3,$-37.3
2016-09-30,$283.7,$28.1,$62.5,$90.6,-,-,-,$200.7,$161,$535.3,$-20.9,-,$-82.2,-,$-35.8,$-35.8,$53.5,$-85.4,$-27.2,-,$-27.2,-,-,$-29.8,$3.5,$-53.5,$396.4,$12.2,$-29.8
2016-06-30,$249.8,$15.1,$35.3,$50.4,-,-,-,$-370.5,$-238.5,$61.7,$-24.8,-,-,-,$35.8,$35.8,$-31.5,$-20.5,$-364.6,-,$-364.6,-,-,$-29.7,$35.8,$-358.5,$-317.3,$12.5,$-29.7
2016-03-31,$195.1,$15.4,$29.8,$45.2,-,-,-,$-220.3,$-211.9,$28.4,$-20.3,-,-,-,-,-,$35.8,$15.5,$-72,-,$-72,-,-,$-29.6,$13.1,$-88.5,$-44.6,$13.9,$-29.6
2015-12-31,$157.7,$15,$23.6,$38.6,-,-,-,$-145.1,$-197.8,$-1.5,$-20.1,-,-,-,-,-,$-2.1,$-22.2,$-81,-,$-81,-,-,$-29.6,$19.2,$-91.4,$-115.1,$10.4,$-29.6
2015-09-30,$238.9,$25.7,$14.2,$39.9,-,-,-,$194.1,$233,$511.8,$43.2,-,$-2.2,-,$14.8,$14.8,$-16.4,$39.4,$7.2,-,$7.2,-,-,$-23,$42.8,$27,$578.2,$10.5,$-23
2015-06-30,$221.4,$15.7,$27.4,$43.1,-,-,$40.4,$31.1,$92.9,$357.4,$-19.3,-,$-68.7,-,$-14.8,$-14.8,$-2.7,$-105.5,$-124.7,-,$-124.7,-,-,$-22.9,$3.6,$-144,$107.9,$9.3,$-22.9
2015-03-31,$147.9,$14.5,$23.2,$37.7,-,-,$-40.4,$-228.5,$-225.4,$-39.8,$-12.7,-,-,-,-,-,$-2.7,$-15.4,$212.9,-,$212.9,-,-,$-22.9,$21.9,$211.9,$156.7,$11,$-22.9
2014-12-31,$142.5,$13.6,$28.5,$42.1,-,-,-,$-270.1,$-313.6,$-129,$-11.3,-,-,-,-,-,$-2.6,$-13.9,$39.1,-,$39.1,-,-,$-22.8,$5.8,$22.1,$-120.8,$11.4,$-22.8
2014-09-30,$166.2,$13.8,$44.5,$58.3,-,-,-,$-429.7,$-312.2,$-87.7,$-50.3,-,$-21.4,-,-,-,$7.3,$-64.4,$218.3,-,$218.3,-,-,$-22.8,$1.1,$196.6,$44.5,$8.6,$-22.8
