,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$34,$145,$178,$323,$59,$-25,$113,$-98,$49,$406,$-105,-,$-1,-,-,-,$-6,$-112,$-185,$-135,$-320,-,-,$-89,$27,$-382,$-86,-,$-89
2020-09-30,$165,$149,$6,$155,$-163,$95,$130,$60,$122,$442,$-82,-,-,-,-,-,$1,$-81,$-250,$-83,$-333,-,-,$-90,$7,$-416,$-54,-,$-90
2020-06-30,$30,$141,$148,$289,$145,$239,$-239,$-28,$117,$436,$-97,-,-,-,-,-,$-3,$-100,$249,$-442,$-193,$-30,$-30,$-89,$-2,$-314,$24,-,$-89
2020-03-31,$260,$139,$-105,$34,$-72,$-18,$-104,$71,$-123,$171,$-99,-,-,-,-,-,$-2,$-101,-,$539,$539,$-30,$-30,$-90,$-11,$408,$476,-,$-90
2019-12-31,$27,$149,$256,$405,$220,$42,$156,$-179,$239,$671,$-117,-,-,-,-,-,$-3,$-120,$-250,$-219,$-469,-,-,$-85,$-2,$-556,$-3,-,$-85
2019-09-30,$267,$151,-,$151,$30,$26,$-95,$37,$-2,$416,$-110,-,$-29,-,-,-,$-2,$-141,-,$-90,$-90,$-75,$-75,$-85,-,$-250,$21,-,$-85
2019-06-30,$259,$156,$10,$166,$69,$-26,$-46,-,$-3,$422,$-92,-,-,-,-,-,$-2,$-94,-,$-131,$-131,$-125,$-125,$-86,$3,$-339,$-9,-,$-86
2019-03-31,$209,$155,$-109,$46,$-149,$-122,$-42,$53,$-260,$-5,$-106,-,$-19,-,-,-,-,$-125,$-50,$370,$320,$-125,$-125,$-87,$-6,$102,$-31,-,$-87
2018-12-31,$35,$153,$67,$220,$245,$37,$83,$120,$485,$740,$-142,-,$-3,-,-,-,$-3,$-148,$33,$-485,$-452,$-25,$-25,$-78,$-3,$-558,$33,-,$-78
2018-09-30,$413,$151,$23,$174,$-16,$-103,$17,$-90,$-192,$395,$-137,-,-,-,-,-,$1,$-136,$-125,$71,$-54,$-125,$-125,$-78,$-2,$-259,-,-,$-78
2018-06-30,$346,$148,$-10,$138,$10,$-78,$-18,$45,$-41,$443,$-116,-,-,-,-,-,$15,$-101,$-178,$69,$-109,$-150,$-150,$-82,$2,$-339,$-1,-,$-82
2018-03-31,$290,$152,$-152,-,$-223,$-80,$8,$-30,$-325,$-35,$-128,-,-,-,-,-,$50,$-78,$100,$199,$299,$-100,$-100,$-80,$-3,$116,$3,-,$-80
2017-12-31,$491,$147,$-465,$-318,$135,$72,$143,$123,$473,$646,$-197,-,$-14,-,-,-,$-2,$-213,$-200,$-90,$-290,$-75,$-75,$-68,$-5,$-438,$-4,-,$-68
2017-09-30,$324,$148,$58,$206,$-22,$-35,$8,$47,$-2,$528,$-160,-,$14,-,-,-,$-1,$-147,$-400,$166,$-234,$-100,$-100,$-78,$2,$-410,$-27,-,$-78
2017-06-30,$294,$147,$35,$182,$-17,$-26,$-2,-,$-45,$431,$-146,-,-,-,-,-,$-1,$-147,-,$-95,$-95,$-102,$-102,$-75,$12,$-260,$25,-,$-75
2017-03-31,$279,$145,$-89,$56,$-149,$-82,$-26,$-26,$-283,$52,$-132,-,$-4,-,-,-,-,$-136,$250,-,$250,$-73,$-73,$-75,-,$102,$16,-,$-75
2016-12-31,$118,$144,$81,$225,$76,$42,$73,$-144,$47,$390,$-210,-,$-41,-,-,-,$-45,$-296,$-128,$105,$-23,$-41,$-41,$-68,$15,$-117,$-26,-,$-68
2016-09-30,$233,$145,$37,$182,$46,$-29,$10,$8,$35,$450,$-182,-,$37,-,-,-,$-2,$-147,$-150,$-47,$-197,$-67,$-67,$-72,-,$-336,$-33,-,$-72
2016-06-30,$257,$144,$44,$188,$-7,$43,$-14,$27,$49,$494,$-89,-,$-1,-,-,-,$4,$-86,$10,$-290,$-280,$-17,$-17,$-72,-,$-369,$38,-,$-72
2016-03-31,$251,$147,$-123,$24,$-144,$-2,$-62,$-16,$-224,$51,$-104,-,$-21,-,-,-,$-1,$-126,$-10,$82,$72,$-20,$-20,$-68,-,$-16,$-91,-,$-68
2015-12-31,$125,$142,$174,$316,$168,$-3,$37,$-69,$133,$574,$-226,-,-,-,-,-,-,$-226,$-275,$38,$-237,$-67,$-67,$-59,-,$-363,$-16,-,$-59
2015-09-30,$258,$142,$11,$153,$49,$-66,$-30,$4,$-43,$368,$-160,-,$-45,-,-,-,$3,$-202,$-50,-,$-50,$-9,$-9,$-63,-,$-122,$41,-,$-63
2015-06-30,$299,$142,$-4,$138,$-12,$22,$-1,$145,$154,$591,$-141,-,-,-,-,-,$-2,$-143,$-375,$64,$-311,$-4,$-4,$-61,-,$-376,$72,-,$-61
2015-03-31,$172,$145,$2,$147,$-91,$21,$-108,$-50,$-228,$91,$-121,-,-,-,-,-,$-1,$-122,-,$93,$93,$-15,$-15,$-61,-,$17,$-18,-,$-61
2014-12-31,$17,$122,$282,$404,$137,$15,$-18,$-71,$63,$484,$-185,-,"$-3,184",-,-,-,$-4,"$-3,373","$2,950",$-5,"$2,945",$-4,$-4,$-51,-,"$2,890",$2,-,$-51
2014-09-30,$212,$111,$53,$164,$73,$-22,$32,$101,$184,$560,$-152,-,$-42,-,-,-,-,$-194,-,$-211,$-211,$-58,$-58,$-53,-,$-322,$37,-,$-53
2014-06-30,$294,$110,$31,$141,$-73,$62,$-23,$18,$-16,$419,$-120,-,$-283,-,-,-,$-2,$-405,$365,$-231,$134,$-102,$-102,$-59,-,$-27,$-10,-,$-59
2014-03-31,$234,$107,$-65,$42,$-118,$-116,$-21,$-51,$-306,$-30,$-123,-,-,-,-,-,$4,$-119,$125,$257,$382,$-228,$-228,$-56,-,$98,$-52,-,$-56
