,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-11-30,"$1,226",$936,"$1,197","$2,133",$-713,-,-,$-110,$-780,"$2,579","$-1,394",-,-,-,-,-,-,"$-1,394",$-19,-,$-19,$349,$349,$-171,$-11,$148,"$1,385",$46,$-171
2020-08-31,"$1,245",$926,$749,"$1,675",$-387,-,-,$-80,$-269,"$2,651","$-1,418",-,-,-,-,-,-,"$-1,418",$914,-,$914,$82,$82,$-170,$-1,$825,"$2,073",$75,$-170
2020-05-31,$-334,"$1,362","$1,597","$2,959",$-827,-,-,$-804,$-806,"$1,819","$-1,156",-,-,-,-,-,-,"$-1,156","$2,960",$-298,"$2,662",$26,$26,$-170,$-4,"$2,514","$3,115",$31,$-170
2020-02-29,$315,$908,$714,"$1,622",$180,-,-,$8,$-733,"$1,204","$-1,428",-,-,-,-,-,-,"$-1,428",$-24,$148,$124,$12,$12,$-170,-,$-34,$-265,$33,$-170
2019-11-30,$560,$901,$676,"$1,577",$-417,-,-,$-57,$-628,"$1,509","$-1,843",-,-,-,-,-,-,"$-1,843",$-36,$150,$114,$14,$14,$-169,-,$-41,$-358,$37,$-169
2019-08-31,$745,$879,$866,"$1,745",$-267,-,-,$-121,"$-1,925",$565,"$-1,419",-,-,-,-,-,-,"$-1,419","$1,108",-,"$1,108",$9,$9,$-170,$-5,$942,$70,$67,$-170
2019-05-31,"$-1,969",$866,"$3,599","$4,465",$-93,-,-,$-849,$-206,"$2,290","$-1,712",-,$-66,-,-,-,-,"$-1,778",$-562,$-220,$-782,$-72,$-72,$-169,$-9,"$-1,032",$-553,$33,$-169
2019-02-28,$739,$851,$108,$959,$563,-,-,$-37,$-554,"$1,144","$-1,114",-,-,-,-,-,-,"$-1,114","$1,141",$-28,"$1,113",$-81,$-81,$-341,$4,$695,$749,$33,$-341
2018-11-30,$935,$828,$331,"$1,159",$-963,-,-,$-10,$-616,"$1,478","$-1,480",-,-,-,-,-,-,"$-1,480",$450,$-51,$399,$-626,$-626,-,$-3,$-230,$-246,$40,-
2018-08-31,$835,$808,$173,$981,$-380,-,-,$-151,"$-1,115",$701,"$-1,101",-,-,-,-,-,-,"$-1,101",$-2,$299,$297,$-600,$-600,$-173,$4,$-472,$-896,$68,$-173
