,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2021-03-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-12-31,$616,$61,$52,$113,$-719,-,-,$-10,$-729,$-1,$-38,$-24,-,-,$-802,$-802,"$2,841","$1,977","$-1,349",-,"$-1,349",-,-,$-177,"$4,033","$2,507","$4,483",-,$-149
2020-09-30,$530,$132,$120,$252,$-94,-,-,$-12,$-106,$681,$-8,$-19,$6,-,"$-2,455","$-2,455","$2,062",$-414,"$-1,481",-,"$-1,481",-,-,$-177,"$1,666",$8,$275,-,$-148
2020-06-30,$-214,$128,$714,$842,$-557,-,-,$785,$228,$857,$-45,$-12,$-387,-,$132,$132,$-824,"$-1,136","$-5,541","$-3,150","$-8,691",-,$346,$-172,"$16,739","$8,222","$7,943",-,$-149
2020-03-31,$162,$100,$304,$404,$114,-,-,$9,$123,$787,$-43,$-4,-,-,$-397,$-397,"$-4,836","$-5,280","$2,151","$1,100","$3,251",-,-,$-172,"$2,555","$5,634","$1,141",-,$-149
2019-12-31,$389,$105,$169,$274,$-321,-,-,$134,$-187,$497,$-51,$-5,-,-,$629,$629,$-286,$287,"$-1,251","$-3,351","$-4,602",$-132,$-132,$-174,"$3,171","$-1,737",$-953,-,$-151
2019-09-30,$409,$109,$97,$206,$62,-,-,$46,$108,$763,$-72,$-9,-,-,$-380,$-380,$648,$187,$-101,"$1,151","$1,050",$-589,$-589,$-164,$-668,$-371,$579,-,$-140
2019-06-30,$390,$107,$110,$217,$-48,-,-,$119,$71,$743,$-19,$-2,-,-,$974,$974,$770,"$1,723","$-3,800","$2,650","$-1,150",$-190,$300,$-159,$-776,"$-1,785",$681,-,$-143
2019-03-31,$394,$105,$117,$222,$-401,-,-,$312,$-89,$578,$-36,$-8,-,-,$-273,$-273,"$-1,371","$-1,688",$500,-,$500,$-190,$-190,$-159,"$1,228","$1,379",$269,-,$-143
2018-12-31,$406,$107,$175,$282,$231,-,-,$32,$263,"$1,004",$-22,$-34,-,-,$274,$274,"$-1,429","$-1,211","$1,199","$-1,650",$-451,$-370,$-370,$-164,"$1,235",$250,$43,-,$-148
