,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$1,922",$65,$-350,$-285,$19,$-134,$29,-,$732,"$2,541",$-69,-,-,-,-,-,$33,$-36,-,-,-,-,-,"$-1,600",$-83,"$-1,683",$822,-,"$-1,600"
2020-09-30,$-956,$62,"$3,067","$3,129",$-11,$49,$71,-,"$-1,337",$898,$-56,-,-,-,-,-,$12,$-44,-,-,-,-,-,"$-1,564",-,"$-1,564",$-710,-,"$-1,564"
2020-06-30,"$1,938",$65,$-14,$51,$7,$92,$-2,-,$-248,"$1,817",$-54,-,-,-,-,-,$43,$-11,"$1,993","$-3,000","$-1,007",-,-,"$-1,563",$-6,"$-2,576",$-770,-,"$-1,563"
2020-03-31,"$1,550",$65,$-41,$24,$5,$-5,$-45,-,"$1,102","$3,129",$-52,-,-,-,-,-,-,$-52,"$-1,000","$3,000","$2,000",-,-,"$-1,563",$-10,$427,"$3,504",-,"$-1,563"
2019-12-31,"$-1,814",$63,"$3,756","$3,819",$13,$-105,$78,-,$523,"$2,563",$-86,-,-,-,$-41,$-41,$141,$14,-,-,-,$-499,$-499,"$-1,571",$8,"$-2,062",$515,-,"$-1,571"
2019-09-30,"$-2,602",$57,"$4,501","$4,558",-,$51,$18,-,$785,"$2,882",$-81,-,$-421,-,$-31,$-31,$97,$-436,"$-1,144",-,"$-1,144",-,-,"$-1,497",$4,"$-2,637",$-191,-,"$-1,497"
2019-06-30,"$1,997",$53,$21,$74,$-5,$121,$14,-,"$-2,002",$103,$-41,-,-,-,$-1,$-1,$16,$-26,-,-,-,$-195,$-195,"$-1,499",$-2,"$-1,696","$-1,619",-,"$-1,499"
2019-03-31,"$1,121",$53,$273,$326,$-16,$-25,$-189,-,$641,"$2,289",$-38,-,-,-,"$-1,831","$-1,831",$-81,"$-1,950","$16,265","$-12,800","$3,465",$-151,$-151,"$-1,502",$-129,"$1,683","$2,022",-,"$-1,502"
2018-12-31,"$1,251",$59,$139,$198,$45,$-276,$106,-,$306,"$1,825",$-106,-,-,-,"$-12,800","$-12,800",$55,"$-12,851",$-864,"$12,800","$11,936",$-356,$-356,"$-1,506",$-107,"$9,967","$-1,059",-,"$-1,506"
2018-09-30,"$1,944",$64,$-71,$-7,$-43,$42,$79,-,$847,"$2,716",$-60,-,$-15,-,-,-,$19,$-56,-,-,-,$-367,$-367,"$-1,324",-,"$-1,691",$969,-,"$-1,324"
2018-06-30,"$1,877",$51,$244,$295,$-11,$135,$6,-,"$-1,165","$1,041",$-38,-,-,-,-,-,$-2,$-40,-,-,-,$-437,$-437,"$-1,328",$-2,"$-1,767",$-766,-,"$-1,328"
