,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$472,$298,$17,$315,-,-,-,$580,$580,"$1,385",$-289,-,-,$1,-,$1,$29,$-259,-,-,-,$-13,$-13,$-159,$-1,$-173,$940,-,$-159
2020-09-30,$616,$316,$128,$444,$191,$86,$-64,$-52,$223,"$1,166",$-292,-,-,-,-,-,$12,$-280,$-707,-,$-707,$-6,$-6,$-150,$-11,$-874,$55,$89,$-150
2020-06-30,$527,$295,$-19,$276,-,-,-,$617,$617,"$1,448",$-283,-,-,$-1,$1,-,$17,$-266,$98,$-200,$-102,$-3,$-3,$-150,-,$-255,$846,-,$-150
2020-03-31,$419,$293,$59,$352,-,-,-,$-343,$-343,$366,$-312,-,-,$-1,$-184,$-185,$1,$-496,$180,$200,$380,$-56,$-56,$-151,$-5,$168,$22,-,$-151
2019-12-31,$509,$288,$-13,$275,-,-,-,$83,$83,$894,$-312,-,$29,$-16,-,$-16,$-82,$-381,$-173,$-70,$-243,$-112,$-112,$-150,$-2,$-507,$13,-,$-150
2019-09-30,$330,$289,$188,$477,$-226,$-157,$-55,$924,$232,$978,$-288,-,$169,-,-,-,$-10,$-129,$-709,$70,$-639,$12,$12,$-134,-,$-761,$78,$77,$-134
2019-06-30,$681,$286,$39,$325,-,-,-,$-382,$-382,$596,$-315,-,$-320,-,-,-,$66,$-569,$201,-,$201,$-43,$-43,$-134,$-4,$20,$46,-,$-134
2019-03-31,$430,$273,$-14,$259,-,-,-,$-623,$-623,$71,$-338,-,-,$-1,-,$-1,$22,$-317,$402,-,$402,$-42,$-42,$-135,$-24,$201,$-40,-,$-135
2018-12-31,$552,$250,$18,$268,-,-,-,$-16,$-16,$868,$-318,-,"$-2,141",-,-,-,$10,"$-2,449","$1,927",-,"$1,927",$-80,$-80,$-134,$-2,"$1,711",$130,-,$-134
2018-09-30,$483,$246,$248,$494,$-2,$-144,$-44,$359,$280,"$1,039",$-313,-,$-194,$-4,-,$-4,$28,$-483,$-250,$-30,$-280,$-55,$-55,$-107,$-13,$-455,$100,$69,$-107
2018-06-30,$542,$238,$18,$256,-,-,-,$-41,$-41,$785,$-328,-,$-382,-,-,-,$-27,$-737,$128,$30,$158,$-120,$-120,$-108,$-1,$-71,$-28,-,$-108
2018-03-31,$316,$230,$29,$259,-,-,-,$-665,$-665,$13,$-263,-,-,$2,-,$2,$-3,$-264,$315,$-5,$310,$-49,$-49,$-108,-,$153,$-95,-,$-108
2017-12-31,"$1,632",$229,$-967,$-738,-,-,-,$203,$203,"$1,126",$-296,-,$-101,$-3,-,$-3,$-22,$-422,$-525,$5,$-520,$-101,$-101,$-108,-,$-729,$-25,-,$-108
2017-09-30,$395,$218,$292,$510,$-55,$-246,$61,$593,$408,"$1,150",$-287,-,-,$-16,-,$-16,$6,$-297,$-615,-,$-615,$-66,$-66,$-81,$-7,$-769,$87,$92,$-81
2017-06-30,$448,$187,$3,$190,-,-,-,$-189,$-189,$467,$-315,-,"$-3,081",$-1,-,$-1,$8,"$-3,389","$3,223",$-3,"$3,220",$10,$10,$-80,$-242,"$2,908",$-12,-,$-80
2017-03-31,$341,$179,$-24,$155,-,-,-,$-729,$-729,$-152,$-267,-,-,$1,-,$1,$2,$-264,$475,$3,$478,$-80,$-80,$-79,$29,$348,$-64,-,$-79
2016-12-31,$594,$177,$-4,$173,-,-,-,$360,$360,"$1,134",$-200,-,-,$-2,-,$-2,$-12,$-214,$-20,$-300,$-320,$-570,$-570,$-79,$12,$-957,$-42,-,$-79
2016-09-30,$392,$179,$149,$328,$73,$148,$-130,$130,$202,$843,$-180,-,-,$-7,-,$-7,$5,$-182,$-20,$150,$130,$-612,$-612,$-54,$26,$-510,$152,$81,$-54
2016-06-30,$485,$178,$-24,$154,-,-,-,$102,$102,$768,$-160,-,-,$-3,-,$-3,$13,$-150,$-20,$-150,$-170,$-456,$-456,$-54,$2,$-678,$-57,-,$-54
2016-03-31,$434,$176,$16,$192,-,-,-,$-635,$-635,$10,$-167,-,-,$3,-,$3,$3,$-161,$-653,$300,$-353,$-395,$-395,$-54,$17,$-785,$-933,-,$-54
2015-12-31,$461,$172,$69,$241,-,-,-,$394,$394,"$1,095",$-188,-,-,$-2,-,$-2,$-1,$-191,$-20,-,$-20,$-353,$-353,$-54,$23,$-404,$499,-,$-54
2015-09-30,$259,$187,$199,$386,$66,$220,$-162,$-62,$239,$898,$-218,-,$374,$-5,-,$-5,$5,$156,$-510,-,$-510,$-285,$-285,$-37,-,$-832,$217,$69,$-37
2015-06-30,$344,$177,$4,$181,-,-,-,$318,$318,$864,$-201,-,$23,$21,-,$21,$22,$-135,$-269,$-175,$-444,$-10,$-10,$-35,$7,$-482,$248,-,$-35
2015-03-31,$311,$172,$1,$173,-,-,-,$-518,$-518,$-4,$-204,-,-,$1,-,$1,$1,$-202,$-47,$175,$128,$-41,$-41,$-38,$5,$54,$-158,-,$-38
2014-12-31,$310,$175,$11,$186,-,-,-,$310,$310,$812,$-231,-,$142,$-3,-,$-3,$3,$-89,$-668,-,$-668,$-75,$-75,$-37,$5,$-775,$-57,-,$-37
2014-09-30,$136,$148,$117,$265,$-93,$-148,$202,$502,$330,$635,$-195,-,"$-8,137",$16,-,$16,$-34,"$-8,350","$5,521",-,"$5,521","$2,125","$2,125",$-28,$-49,"$7,569",$-149,$51,$-28
2014-06-30,$258,$128,$-40,$88,-,-,-,$-112,$-112,$278,$-144,-,-,$2,-,$2,$36,$-106,$-3,-,$-3,$1,$1,$-26,$7,$-21,$149,-,$-26
2014-03-31,$210,$127,$-9,$118,-,-,-,$-434,$-434,$-96,$-153,-,$-56,$-2,-,$-2,$11,$-200,$-3,-,$-3,$-79,$-79,$-25,$14,$-93,$-387,-,$-25
2013-12-31,$252,$127,$-107,$20,-,-,-,$67,$67,$361,$-140,-,-,$-1,-,$-1,$-3,$-144,$-373,-,$-373,$-147,$-147,$-25,$5,$-540,$-320,-,$-25
2013-09-30,$259,$132,$119,$251,$-126,$15,$-12,$165,$122,$542,$-133,-,-,$83,-,$83,$3,$-47,$-2,-,$-2,$-286,$-286,$-17,$5,$-300,$202,$36,$-17
2013-06-30,$245,$128,$3,$131,-,-,-,$143,$143,$542,$-135,-,$-96,$-38,-,$-38,$6,$-263,$-3,-,$-3,$-86,$-86,$-17,$11,$-95,$181,-,$-17
2013-03-31,$106,$129,$-15,$114,-,-,-,$-214,$-214,$40,$-133,-,$-10,$-64,-,$-64,$26,$-181,$-7,-,$-7,$-23,$-23,$-17,-,$-47,$-189,-,$-17
2012-12-31,$168,$130,$-9,$121,-,-,-,$-122,$-122,$190,$-157,-,-,$1,-,$1,$4,$-152,$-11,-,$-11,$-96,$-96,$-53,$2,$-158,$-120,-,$-53
2012-09-30,$181,$130,$99,$229,$-69,$-259,$106,$253,$39,$468,$-160,-,-,$-2,-,$-2,$22,$-140,$-40,-,$-40,$-53,$-53,$-13,$19,$-87,$243,-,$-13
2012-06-30,$73,$124,$189,$313,-,-,-,$-79,$-79,$265,$-186,-,-,$3,-,$3,$2,$-181,$148,-,$148,$-49,$-49,$-15,$-55,$29,$105,-,$-15
2012-03-31,$166,$123,$29,$152,-,-,-,$-216,$-216,$116,$-162,-,-,$-15,-,$-15,$14,$-163,$-5,-,$-5,$-78,$-78,$-14,$7,$-90,$-134,-,$-14
2011-12-31,$156,$122,$24,$146,-,-,-,$9,$9,$338,$-182,-,-,$3,-,$3,$3,$-176,$20,-,$20,$-50,$-50,$-15,$22,$-23,$141,-,$-15
