,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2014-06-30,$439,$71,$117,$188,-,-,-,$-504,$-504,$123,$-41,-,$-1,-,$-22,$-22,$-20,$-84,$-103,$-59,$-162,$-320,$-320,$-70,$686,$134,$173,$44,$-70
2014-03-31,$468,$71,$-1,$70,-,-,-,$-37,$-37,$501,$-28,-,$6,-,$-39,$-39,$-4,$-65,$-4,$-35,$-39,"$-1,956","$-1,956",$-75,"$1,548",$-522,$-86,$40,$-75
2013-12-31,$470,$73,$627,$700,$-777,$48,-,$238,$-617,$553,$-100,-,$-21,-,$-45,$-45,$10,$-156,$-4,$134,$130,$-296,$-296,$-72,$12,$-226,$171,$59,$-72
2013-09-30,$494,$70,$-106,$-36,-,-,-,$-189,$-189,$269,$-44,-,$184,-,$-3,$-3,$-23,$114,$-4,$-111,$-115,$-262,$-262,$-73,$11,$-439,$-56,$57,$-73
2013-06-30,$472,$31,$73,$104,-,-,-,$-112,$-112,$464,$-34,-,$-21,-,$-103,$-103,$-18,$-176,$-5,$-98,$-103,$-250,$-250,$-74,$12,$-415,$-127,$46,$-74
2013-03-31,$443,$116,$68,$184,-,-,-,$-40,$-40,$587,$-34,-,$2,-,$-18,$-18,$-4,$-54,$-4,$550,$546,"$-1,231","$-1,231",$-81,$-66,$-832,$-299,$60,$-81
2012-12-31,$393,$-36,$714,$678,$-237,$-414,-,$15,$-736,$335,$-61,-,$-73,$-11,$-24,$-35,$-63,$-232,$-5,-,$-5,$-270,$-270,$-77,$10,$-342,$-239,$29,$-77
2012-09-30,$391,$116,$28,$144,-,-,-,$-313,$-313,$222,$-55,-,$44,$11,$-21,$-10,$-4,$-25,$-888,-,$-888,$-206,$-206,$-64,$20,"$-1,138",$-941,$38,$-64
2012-06-30,$427,$119,$76,$195,-,-,-,$-10,$-10,$612,$-49,-,$1,-,$-3,$-3,$-3,$-54,$872,-,$872,$-269,$-269,$-66,$-1,$536,"$1,094",$39,$-66
2012-03-31,$363,$119,$55,$174,-,-,-,$109,$109,$646,$-35,-,$-69,-,$-30,$-30,$-6,$-140,$-15,-,$-15,$-224,$-224,$-69,$-64,$-372,$134,$41,$-69
2011-12-31,$370,$96,$506,$602,$-10,$-159,-,$-600,$-903,$69,$-93,-,$3,-,$-30,$-30,$-20,$-140,$-7,-,$-7,$-148,$-148,$-66,$5,$-216,$-287,$29,$-66
2011-09-30,$338,$134,$54,$188,-,-,-,$-440,$-440,$86,$-57,-,$-18,-,$5,$5,$-8,$-78,$-5,-,$-5,$-337,$-337,$-67,$2,$-407,$-399,$35,$-67
2011-06-30,$395,$139,$46,$185,-,-,-,$120,$120,$700,$-54,-,$-2,-,$-16,$-16,$4,$-68,$-1,-,$-1,$-215,$-215,$-36,$-6,$-258,$374,$41,$-36
2011-03-31,$202,$139,$50,$189,-,-,-,$503,$503,$894,$-41,-,$-40,-,$-26,$-26,$4,$-103,$-6,-,$-6,$-240,$-240,$-37,$-16,$-299,$492,$34,$-37
2010-12-31,$283,$92,$393,$485,$-16,$121,-,$-613,$-607,$161,$-91,-,$-1,-,$-35,$-35,$-41,$-168,$-557,-,$-557,$3,$3,$-34,$3,$-585,$-592,$29,$-34
2010-09-30,$317,$139,$50,$189,-,-,-,$-183,$-183,$323,$-63,-,$15,-,$-4,$-4,-,$-52,$-4,-,$-4,$37,$37,$-34,$-36,$-37,$234,$37,$-34
