,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2015-06-30,$117,$77,$209,$286,$154,-,$-34,$-118,$-107,$300,$-61,-,-,$115,-,$115,$-17,$37,$-17,-,$-17,$-86,$-86,$-107,$-28,$-238,$107,$35,$-107
2015-03-31,$176,$87,$285,$372,$-59,-,$-4,$172,$-50,$488,$-54,-,-,$-70,-,$-70,$-27,$-151,$-2,-,$-2,$-87,$-87,$-102,$2,$-189,$110,$37,$-102
2014-12-31,$222,$39,$229,$268,$-244,-,$8,$187,$-137,$358,$-50,-,$-20,$-160,-,$-160,$-51,$-281,$-1,-,$-1,$-113,$-113,$-104,-,$-218,$-208,$5,$-104
2014-09-30,$244,$112,$54,$166,$-40,-,$-20,$-210,$-239,$173,$-107,-,-,$109,-,$109,-,$2,-,-,-,$-82,$-82,$-103,$-3,$-188,$-95,$46,$-103
2014-06-30,$236,$117,$60,$177,$308,-,$-57,$-190,$-121,$293,$-92,-,$-19,$-613,-,$-613,-,$-724,$-18,-,$-18,$-102,$-102,$-104,$8,$-216,$-640,$43,$-104
2014-03-31,$217,$-9,$393,$384,$-109,$-11,$-1,$240,$-151,$449,$-11,-,-,$-298,-,$-298,$-66,$-375,-,-,-,$-74,$-74,$-104,$-9,$-187,$-106,$-6,$-104
2013-12-31,$283,$111,$-8,$103,$-320,$3,$38,$96,$-54,$329,$-65,-,-,$27,-,$27,-,$-38,-,-,-,$-102,$-102,$-104,$-2,$-208,$86,$34,$-104
2013-09-30,$241,$111,$38,$149,$180,$2,$-28,$-278,$-200,$191,$-57,-,$-17,$-67,-,$-67,-,$-141,-,-,-,$-19,$-19,$-105,$-1,$-125,$-22,$38,$-105
2013-06-30,$157,$161,$45,$206,$285,$6,$-64,$-182,$-61,$312,$-61,-,-,$32,-,$32,-,$-29,"$-1,189",$189,"$-1,000",$-71,$-71,$-105,$-16,"$-1,192",$-936,$39,$-105
2013-03-31,$190,$173,$44,$217,$37,$-9,$41,$215,$186,$612,$-91,-,-,-,-,-,$-4,$-95,$-996,-,$-996,$56,$56,-,$964,$24,$485,$39,-
2012-12-31,$216,$174,$54,$228,$-347,$4,$26,$203,$30,$463,$-77,-,-,-,-,-,$1,$-76,-,-,-,$-175,$-175,-,$-2,$-177,$198,$42,-
2012-09-30,$189,$176,$52,$228,$-104,$4,$-34,$-147,$-241,$178,$-89,-,-,$24,-,$24,-,$-65,-,-,-,$-129,$-129,-,$-95,$-224,$-80,$45,-
2012-06-30,$160,$175,$34,$209,$307,$1,-,$-238,$-35,$340,$-79,-,$-28,$22,-,$22,$2,$-83,$996,-,$996,$-297,$-297,-,$-14,$685,$920,$38,-
2012-03-31,$574,$182,$-493,$-311,$77,$5,$21,$272,$429,$687,$-87,-,$-144,$-44,$567,$523,$1,$293,$-5,-,$-5,$-148,$-148,-,$-17,$-170,$835,$41,-
2011-12-31,$241,$175,$68,$243,$-319,$-5,$-28,$261,$-80,$403,$-75,-,-,-,$-14,$-14,$-2,$-91,$-1,-,$-1,$-208,$-208,-,-,$-209,$112,$46,-
2011-09-30,$182,$177,$49,$226,$-28,$-2,$45,$-158,$-101,$308,$-73,-,-,-,$-33,$-33,$1,$-105,$-1,-,$-1,$-227,$-227,-,$-1,$-229,$-75,$38,-
2011-06-30,$190,$178,$65,$243,$359,$4,$-8,$-190,$66,$503,$-51,-,$-364,-,-,-,-,$-415,$-600,-,$-600,$-163,$-163,-,$-15,$-778,$-660,$39,-
2011-03-31,$166,$182,$55,$237,$-25,$2,$-19,$302,$273,$689,$-83,-,-,$20,$-26,$-6,$7,$-82,$513,$-513,-,$-126,$-126,-,$-7,$-133,$505,$37,-
2010-12-31,$132,$184,$41,$225,$-296,$-9,$-6,$333,$102,$460,$-39,-,$-9,-,$19,$19,$-2,$-31,$-1,-,$-1,$-245,$-245,-,$3,$-243,$189,$37,-
2010-09-30,$134,$183,$75,$258,$-52,-,$23,$-40,$-71,$310,$-64,-,"$-1,166",-,-,-,$1,"$-1,229",$586,-,$586,$-189,$-189,-,$2,$399,$-470,$36,-
2010-06-30,$161,$194,$51,$245,$285,$3,$4,$-218,$-73,$335,$-52,-,$-362,-,-,-,$-4,$-418,$-1,-,$-1,$-190,$-190,-,$-16,$-207,$-303,$35,-
2010-03-31,$184,$197,$12,$209,$33,$-1,$46,$223,$311,$703,$-99,-,$-15,-,$-3,$-3,-,$-117,$-1,-,$-1,$-138,$-138,-,$2,$-137,$436,$31,-
2009-12-31,$301,$194,$5,$199,$-218,$-1,$-35,$191,$-108,$393,$1,-,$-19,-,$1,$1,-,$-17,-,-,-,$-102,$-102,-,$3,$-99,$279,$39,-
2009-09-30,$155,$200,$38,$238,$-58,$1,$-23,$-96,$-161,$226,$-53,-,-,-,$6,$6,-,$-47,$-3,-,$-3,$-77,$-77,-,$3,$-77,$122,$36,-
2009-06-30,$74,$246,$68,$314,$229,$4,$16,$-163,$-23,$371,$-52,-,$3,-,$165,$165,-,$116,$-1,-,$-1,$-112,$-112,-,$-15,$-128,$399,$49,-
2009-03-31,$-264,$649,$-8,$641,$72,-,$-29,$198,$233,$607,$-57,-,$-18,-,$-122,$-122,-,$-197,$-2,-,$-2,$-60,$-60,-,$1,$-61,$344,$34,-
2008-12-31,"$-6,820","$7,245",$7,"$7,252",$-257,-,$-19,$176,$-29,$403,$-90,-,$-858,-,$-39,$-39,-,$-987,$-2,-,$-2,$-197,$-197,-,-,$-199,$-813,$34,-
2008-09-30,$126,$234,$59,$293,$-19,-,$8,$-155,$-177,$247,$-27,-,$-21,-,$196,$196,-,$148,$-2,-,$-2,$-89,$-89,-,$7,$-84,$217,$44,-
2008-06-30,$172,$224,$58,$282,$119,$6,$-9,$-40,$-46,$414,$-58,-,$-166,-,$299,$299,-,$75,$-2,$-200,$-202,$-125,$-125,-,$-6,$-333,$155,$45,-
2008-03-31,$132.536,$296.596,$-58.815,$237.781,$158.392,$1.776,$14.249,$136.492,$304.653,$674.717,$40.129,-,$-11.317,-,$-200.799,$-200.799,-,$-171.987,$-2.087,-,$-2.087,$-136.444,$-136.444,-,$3.693,$-134.838,$405.545,$42.849,-
2007-12-31,$131.89,$200.911,$-22.304,$178.607,$-284.378,$-1.273,$-20.896,$289.64,$151.331,$462.005,$-71.1,-,$-298.397,-,$147.983,$147.983,-,$-221.514,$-2.309,$200,$197.691,$-369.792,$-369.792,-,$7.828,$-164.273,$96.125,$39.417,-
2007-09-30,$50.368,$204.048,$51.676,$255.724,$-22.405,$2.791,$-5.035,$-81.916,$21.541,$330.969,$-64.244,-,$-11.718,-,$54.736,$54.736,-,$-21.226,$-2.271,-,$-2.271,$-331.932,$-331.932,-,$4.374,$-329.829,$14.315,$40.991,-
2007-06-30,$95.206,$213.445,$16.443,$229.888,$141.391,$7.706,$12.682,$-138.216,$26.475,$351.309,$-73.785,-,$-840.568,-,$-196.92,$-196.92,-,"$-1,111.273",$-5.333,-,$-5.333,$-437.832,$-437.832,-,$6.105,$-437.06,"$-1,184.985",$40.743,-
2007-03-31,$60.894,$201.967,$133.679,$335.646,$81.169,$1.982,$-50.696,$221.902,$170.746,$566.984,$-35.594,$13.3,$-21.658,-,$-43.389,$-43.389,-,$-87.341,$-592.953,$592.49,$-0.463,$-533.959,$-533.959,-,$5.951,$-528.471,$-32.969,$35.134,-
2006-12-31,$116.77,$200.982,$-24.724,$176.258,$-167.072,$0.185,$39.088,$188.74,$159.985,$454.371,$-113.108,$-13.3,$-20.425,-,$-37.584,$-37.584,-,$-184.417,-,-,-,$-333.722,$-333.722,-,$13.694,$-320.028,$-15.783,$36.117,-
2006-09-30,$126.182,$201.618,$50.969,$252.587,$-24.449,$-0.313,$2.736,$10.806,$-102.485,$276.64,$-2.509,-,$-2.944,-,$68.894,$68.894,-,$63.441,$-520,-,$-520,$-897.457,$-897.457,-,$4.001,"$-1,413.456","$-1,077.731",$45.77,-
2006-06-30,$100.534,$206.876,$5.612,$212.488,$144.066,$8.47,$-16.751,$2.858,$55.718,$368.24,$-147.074,-,$-1.646,-,$134.582,$134.582,-,$-14.138,"$2,067.762",$-592.49,"$1,475.272",$-850.879,$-850.879,-,$327.995,$952.388,"$1,369.895",$36.859,-
2006-03-31,$118.813,$200.107,$4.98,$205.087,$54.389,$-11.993,$-11.247,$223.006,$166.522,$487.044,$-64.94,$-7.204,$-344.384,-,$458.054,$458.054,$1,$42.526,-,-,-,$-74.459,$-74.459,-,-,$-74.459,$476.377,$9.898,-
2005-12-31,$90.734,$183.431,$-48.149,$135.282,$-251.37,$-22.467,$1.609,$463.278,$292.637,$520.583,$-120.544,-,$-237.866,-,"$1,634.113","$1,634.113",-,"$1,275.703",-,-,-,"$-1,744.593","$-1,744.593",-,-,"$-1,744.593",$32.839,$12.329,-
2005-09-30,$-251.328,$228.683,$257.446,$486.129,$72.983,$1.365,$34.895,$-10.776,$81.211,$317.545,$-54.157,-,"$1,140.811",-,"$1,571.858","$1,571.858",-,"$2,658.512",$-491.462,-,$-491.462,"$-1,633.294","$-1,633.294",-,-,"$-2,124.756",$858.022,$13.389,-
2005-06-30,$198.633,$27.595,$0.965,$28.56,$36.564,$3.267,$14.911,$-25.322,$-15.504,$211.724,$-27.576,-,$-17.957,-,$-311.603,$-311.603,-,$-357.136,-,-,-,$33.744,$33.744,-,-,$33.744,$-143.049,$2.785,-
2005-03-31,$536.159,$127.434,$178.885,$306.319,$-3.636,$-3.621,$-0.96,$294.544,$361.233,"$1,207.459",$-91.536,$-0.8,$-424.212,-,$-146.611,$-146.611,-,$-663.159,-,-,-,$-31.99,$-31.99,-,-,$-31.99,$530.571,$4.524,-
