,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$199,$44,$-18,$26,$34,$-35,$54,$53,$215,$431,$-18,-,-,-,-,-,-,$-18,$-326,-,$-326,-,-,-,$38,$-288,$129,$18,-
2020-09-30,$116,$36,$6,$42,$-105,$29,$39,$12,$1,$176,$-16,-,$-548,-,$6,$6,-,$-558,$346,-,$346,$31,$31,-,$-13,$364,$-47,$13,-
2020-06-30,$100,$34,$19,$53,$93,$-69,$63,$34,$100,$247,$-20,-,-,-,$-30,$-30,-,$-50,$-181,-,$-181,$-31,$-31,-,$77,$-135,$62,$13,-
2020-03-31,$89,$35,$38,$73,$108,$33,$-109,$15,$-56,$108,$-13,-,-,-,$-2,$-2,-,$-15,$121,-,$121,$-200,$-200,-,$-19,$-98,$-6,$7,-
2019-12-31,$169,$36,$-37,$-1,$-23,$-14,$46,$28,$108,$265,$-17,-,$-7,-,$-1,$-1,-,$-25,$-244,-,$-244,$-27,$-27,-,$26,$-245,$-3,$12,-
2019-09-30,$136,$48,$18,$66,$-36,$16,$30,$2,$28,$225,$-14,-,$11,-,$-1,$-1,-,$-4,$-193,-,$-193,$14,$14,-,$-35,$-214,$6,$12,-
2019-06-30,$124,$49,$33,$82,$-65,$26,$16,$13,$-54,$153,$-15,-,$-87,-,$-20,$-20,-,$-122,$-21,-,$-21,$-34,$-34,-,$-12,$-67,$-34,$14,-
2019-03-31,$115,$48,$9,$57,$28,$23,$-97,$8,$-130,$42,$-15,-,$-179,-,$10,$10,-,$-184,$146,-,$146,-,-,-,$15,$161,$17,$10,-
2018-12-31,$115,$47,$4,$51,$62,$-27,$53,$21,$171,$325,$-16,-,-,-,$-1,$-1,-,$-17,$-311,-,$-311,-,-,-,$1,$-310,$-1,$11,-
2018-09-30,$127,$48,$19,$67,$-67,$-5,$48,$5,$2,$194,$-15,-,$-72,-,-,-,-,$-87,$-111,-,$-111,-,-,-,$2,$-109,$-1,$10,-
2018-06-30,$70,$50,$16,$66,$-35,$-17,$33,$1,$10,$150,$-15,-,-,-,$2,$2,-,$-13,$-140,-,$-140,-,-,-,$-10,$-150,$-18,$14,-
2018-03-31,$109,$45,$-5,$40,$9,$6,$-12,$12,$-37,$116,$-18,-,-,-,$-2,$-2,-,$-20,$-95,-,$-95,-,-,-,$3,$-92,$2,$10,-
2017-12-31,$4,$62,$38,$100,$123,$35,$-59,$-11,$166,$268,$-14,-,-,-,-,-,-,$-14,$-267,-,$-267,$-9,$-9,-,$-4,$-280,$-26,$10,-
2017-09-30,$-12,$88,$50,$138,$-66,$-77,$-3,$9,$-120,$7,$-14,-,-,-,$-1,$-1,-,$-15,$53,-,$53,$2,$2,-,$-54,$1,$-7,$10,-
2017-06-30,$17,$78,$7,$85,$25,$-37,$65,$-12,$-13,$86,$-9,-,-,-,-,-,-,$-9,$-160,-,$-160,$3,$3,-,$-3,$-160,$-85,$8,-
2017-03-31,$8,$73,$-1,$72,$79,$-31,$-52,$47,$41,$117,$-13,-,-,-,-,-,-,$-13,$-80,-,$-80,$4,$4,-,$-2,$-78,$24,$7,-
2016-12-31,$17,$72,$-26,$46,$-12,$-4,$59,$-4,$64,$128,$-28,-,$39,-,-,-,-,$11,$-147,-,$-147,$3,$3,-,$-2,$-146,$-7,$7,-
2016-09-30,$-83,$152,$2,$154,$3,$3,$12,$-7,$54,$128,$-14,-,-,-,-,-,-,$-14,$-90,-,$-90,$3,$3,-,$-5,$-92,$22,$8,-
2016-06-30,$-45,$83,$3,$86,$-22,$23,$31,$21,-,$28,$-16,-,-,-,-,-,-,$-16,$-65,-,$-65,$2,$2,-,$-6,$-69,$-53,$3,-
2016-03-31,$-26,$82,$14,$96,$65,$12,$20,$4,$19,$96,$-19,-,-,-,$-1,$-1,-,$-20,$-80,-,$-80,$3,$3,-,-,$-77,$2,$9,-
2015-12-31,$-27,$83,$-86,$-3,$-39,$13,$-29,$34,$6,$6,$-35,-,-,-,$-1,$-1,-,$-36,$-35,-,$-35,$3,$3,-,$-11,$-43,$-66,$6,-
2015-09-30,$-29,$81,$2,$83,$-7,$-3,$51,$-24,$49,$96,$-38,-,$-3,-,$1,$1,-,$-40,-,-,-,$3,$3,-,-,$3,$53,$7,-
2015-06-30,$-77,$87,$-22,$65,$20,$2,$-16,$-17,$-5,$-16,$-23,-,-,-,-,-,-,$-23,$-80,-,$-80,$3,$3,-,$-4,$-81,$-125,$9,-
2015-03-31,$-25,$85,$5,$90,$28,$-25,$-27,$16,$-31,$36,$-26,-,$-49,-,$26,$26,-,$-49,$-50,-,$-50,$8,$8,-,$2,$-40,$-64,$9,-
2014-12-31,$-52.108,$55.777,$-34.75,$21.027,$-59.19,$16.606,$54.025,$5.192,$147.809,$118.322,$-18.977,-,"$-3,399",-,$456.871,$456.871,-,"$-2,961.106","$3,189",-,"$3,189",$12.91,$12.91,-,$-27.653,"$3,174.257",$333.613,$9.696,-
2014-09-30,$14.945,$9.127,$5.126,$14.253,$-22.169,$-13.545,$13.311,$-11.277,$-14.097,$19.765,$-12.061,-,-,-,$-23.891,$-23.891,-,$-35.952,-,-,-,$4.404,$4.404,-,$1.681,$6.085,$-10.135,$3.194,-
2014-06-30,$27.557,$9.093,$6.023,$15.116,$16.152,$-6.724,$-2.901,$-0.016,$16.276,$60.158,$-5.588,-,-,-,$-41.96,$-41.96,-,$-47.548,-,-,-,$3.75,$3.75,-,$2.577,$6.327,$18.925,$4.144,-
2014-03-31,$41.606,$9.003,$2.601,$11.604,$-4.793,$1.663,$-2.435,$3.101,$-3.988,$49.755,$-2.374,-,-,-,$-64.02,$-64.02,-,$-66.394,-,-,-,$4.936,$4.936,-,$0.395,$5.331,$-11.403,$2.966,-
2013-12-31,$41.292,$8.688,$6.738,$15.426,$-0.359,$-13.702,$7.445,$-2.009,$0.591,$57.011,$-6.478,$-0.5,$-318.905,-,$262.914,$262.914,-,$-62.969,-,-,-,$11.989,$11.989,-,$-8.17,$3.819,$-1.456,$3.628,-
2013-09-30,$38.6,$7.9,$2.864,$10.764,$-4.665,$2.512,$-3.708,$1.111,$-2.348,$45.933,$-4.975,$-1,$223.905,-,$-228.554,$-228.554,-,$-10.624,-,-,-,$-27.53,$-27.53,-,$0.443,$-27.087,$8.31,$2.868,-
2013-06-30,$30.566,$8.04,$4.484,$12.524,$-1.46,$7.247,$10.382,$1.417,$24.106,$66.892,$-6.595,-,-,-,$-31.047,$-31.047,-,$-37.642,-,-,-,$-26.484,$-26.484,-,$3.369,$-23.115,$6.294,$4.358,-
