,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2021-03-31,$733,"$1,442",$-188,"$1,254",$-321,-,$509,$-481,$-293,"$1,190",$-5,-,$-38,$524,"$-1,464",$-940,$209,$-774,-,-,-,$-263,$-263,$-214,-,$-477,$-58,-,$-214
2020-12-31,"$1,310","$1,427",$-174,"$1,253",$406,-,$-368,"$-1,211","$-1,173","$1,901",$-80,-,-,$821,$-979,$-158,$-677,$-915,$-500,-,$-500,$-146,$-146,$-218,-,$-864,$138,-,$-218
2020-09-30,$827,"$1,393",$-187,"$1,206",$37,-,$317,$-23,$331,"$2,326",$-9,-,-,$-240,"$-2,264","$-2,504",$350,"$-2,163",-,-,-,$7,$7,$-217,-,$-210,$-40,-,$-217
2020-06-30,$-40,"$1,361",$163,"$1,524",$-170,-,$229,$-171,$-112,"$1,664",$-8,-,-,"$-2,053",$229,"$-1,824",$-66,"$-1,898",$490,-,$490,$34,$34,$-216,-,$308,$79,-,$-216
2020-03-31,$600,"$1,381",$37,"$1,418",$-341,-,$414,$-827,$-754,$628,$-16,-,-,$906,$-822,$84,$16,$84,-,-,-,$-440,$-440,$-210,-,$-650,$50,-,$-210
2019-12-31,$873,"$1,363",$-90,"$1,273",$172,-,$-342,"$-1,008","$-1,178","$1,412",$-12,-,-,$-340,$-147,$-487,$-356,$-855,-,-,-,$-369,$-369,$-211,-,$-580,$-14,-,$-211
2019-09-30,$396,"$1,349",$-107,"$1,242",$229,-,$392,$-613,$8,"$2,001",$-10,-,-,"$-1,114",$-357,"$-1,471",$135,"$-1,346",-,-,-,$-343,$-343,$-214,-,$-557,$92,-,$-214
2019-06-30,$557,"$1,324",$-145,"$1,179",$-292,-,$407,$-892,$-777,"$1,153",$-8,-,-,$606,$-554,$52,$-159,$-115,$-500,-,$-500,$-265,$-265,$-214,-,$-979,$59,-,$-214
2019-03-31,$796,"$1,328",$-55,"$1,273",$-336,-,$551,"$-1,187",$-972,$639,$-77,-,-,$-109,$-613,$-722,$213,$-586,$492,-,$492,$-358,$-358,$-205,-,$-71,$-16,-,$-205
2018-12-31,$621,"$1,316",$-111,"$1,205",$36,-,$-385,$-697,"$-1,046",$948,$-17,-,$4,$452,$-690,$-238,$-319,$-570,-,-,-,$-155,$-155,$-203,-,$-358,$14,-,$-203
2018-09-30,$709,"$1,315",$-117,"$1,198",$102,-,$216,$-696,$-378,"$1,734",$-13,-,$-4,$-746,$-353,"$-1,099",$-186,"$-1,302",$100,-,$100,$-381,$-381,$-207,-,$-488,$-56,-,$-207
2018-06-30,$524,"$1,280",$-124,"$1,156",$-239,-,$361,$-905,$-783,"$1,144",$-11,-,-,$792,$-835,$-43,$-22,$-76,$-500,-,$-500,$-337,$-337,$-207,-,"$-1,044",$18,-,$-207
2018-03-31,$669,"$1,273",$-140,"$1,133",$-392,-,$518,$-944,$-818,$554,$-33,-,-,$410,$-907,$-497,$149,$-381,$391,-,$391,$-316,$-316,$-197,-,$-122,$53,-,$-197
2017-12-31,$551,"$1,274",$82,"$1,356",$158,-,$-331,"$-1,121","$-1,294",$663,$-19,-,-,$964,$-547,$417,$-224,$174,$-350,-,$-350,$-326,$-326,$-196,-,$-872,$-35,-,$-196
2017-09-30,$293,"$1,261",$-169,"$1,092",$-84,-,$163,$-17,$62,"$1,731",$-14,-,$-439,$-566,$-61,$-627,$-106,"$-1,186",-,-,-,$-298,$-298,$-200,-,$-498,$51,-,$-200
2017-06-30,$595,"$1,230",$-226,"$1,004",$-260,-,$214,$-928,$-974,$906,$-10,-,-,$-473,$-140,$-613,$-52,$-675,$482,-,$482,$-440,$-440,$-199,-,$-157,$79,-,$-199
2017-03-31,$617,"$1,214",$37,"$1,251",$-192,-,$475,$-731,$-448,$848,$-16,-,-,$49,$-642,$-593,$94,$-515,-,-,-,$-203,$-203,$-190,-,$-393,$-58,-,$-190
2016-12-31,$943,"$1,215",$-72,"$1,143",$416,-,$-353,"$-1,083","$-1,020","$1,406",$-18,-,-,$-64,$119,$55,$-630,$-593,-,-,-,$-583,$-583,$-188,-,$-771,$38,-,$-188
2016-09-30,$716,"$1,223",$-139,"$1,084",$159,-,$194,$-786,$-433,"$1,770",$-10,-,-,$-816,$-181,$-997,$-36,"$-1,043",-,-,-,$-527,$-527,$-194,-,$-721,$4,-,$-194
2016-06-30,$664,"$1,189",$-76,"$1,113",$16,-,$203,"$-1,661","$-1,442",$443,$-13,-,-,$596,$-623,$-27,$95,$55,$91,-,$91,$-485,$-485,$-195,-,$-589,$-96,-,$-195
2016-03-31,$691,"$1,184",$97,"$1,281",$-267,-,$328,$-788,$-727,$850,$-7,-,-,$85,$-436,$-351,$212,$-146,-,-,-,$-545,$-545,$-180,-,$-725,$-19,-,$-180
2015-12-31,$866,"$1,170",$40,"$1,210",$140,-,$-294,"$-1,123","$-1,277",$760,$-7,-,$-13,$456,$670,"$1,126",$-298,$808,$-400,-,$-400,$-960,$-960,$-182,$13,"$-1,529",$36,-,$-182
2015-09-30,$928,"$1,178",$-132,"$1,046",$170,-,$180,"$-1,055",$-705,"$1,799",$-47,-,-,"$-1,215",$130,"$-1,085",$-124,"$-1,256",$392,-,$392,$-726,$-726,$-188,$11,$-511,$27,-,$-188
2015-06-30,$812,"$1,167",$-92,"$1,075",$-34,-,$177,"$-1,269","$-1,126",$676,$-63,-,-,$567,$-3,$564,$-210,$291,-,-,-,$-774,$-774,$-192,$4,$-962,$9,-,$-192
2015-03-31,$833,"$1,188",$80,"$1,268",$-189,-,$185,"$-1,548","$-1,552",$199,$-6,-,-,$-134,$399,$265,$215,$474,-,-,-,$-581,$-581,$-177,$27,$-731,$-66,-,$-177
2014-12-31,"$1,038","$1,194",$-68,"$1,126",$124,-,$-306,"$-1,339","$-1,521",$525,$8,-,-,$665,$68,$733,$-133,$608,-,-,-,$-960,$-960,$-180,$19,"$-1,121",$7,-,$-180
2014-09-30,$919,"$1,195",$-233,$962,$326,-,$144,"$-1,242",$-772,"$1,840",$-5,-,-,"$-1,223",$534,$-689,$-195,$-889,-,-,-,$-719,$-719,$-184,$14,$-889,$56,-,$-184
2014-06-30,$683,"$1,180",$-156,"$1,024",$-174,-,$141,$-854,$-887,$625,$-27,-,-,$220,$347,$567,$-128,$412,-,-,-,$-811,$-811,$-189,$11,$-989,$51,-,$-189
2014-03-31,"$1,052","$1,177",$13,"$1,190",$-83,-,$94,"$-1,195","$-1,184",$703,$-9,-,$-12,$-160,$76,$-84,$180,$75,-,-,-,$-647,$-647,$-176,$13,$-810,$-34,-,$-176
2013-12-31,$988,"$1,195",$-86,"$1,109",$478,-,$-456,"$-1,270","$-1,248",$927,$-42,-,$-997,"$2,004",$-390,"$1,614",$-378,$197,$494,$-494,-,$-953,$-953,$-180,$8,"$-1,125",$-1,-,$-180
2013-09-30,$864,"$1,160",$-69,"$1,091",$516,-,$138,"$-1,506",$-852,"$1,637",$-6,-,-,"$-1,974",$658,"$-1,316",$123,"$-1,199",-,$494,$494,$-782,$-782,$-183,$14,$-457,$-13,-,$-183
2013-06-30,$925,"$1,166",$-248,$918,$109,-,$158,"$-1,335","$-1,068",$722,$-53,-,-,$-28,$47,$19,$-177,$-211,-,-,-,$-260,$-260,$-191,$8,$-443,$65,-,$-191
2013-03-31,$896,"$1,167",$47,"$1,214",$235,-,$187,"$-1,705","$-1,283",$530,$-6,-,-,$109,$120,$229,$80,$303,$-500,-,$-500,$-260,$-260,$-175,$21,$-914,$-87,-,$-175
2012-12-31,$304,"$1,186",$-108,"$1,078",$-304,-,$-383,$-253,$-940,$464,$-33,-,-,$158,$231,$389,$-170,$186,-,-,-,$-371,$-371,$-175,$6,$-540,$110,-,$-175
2012-09-30,$864,"$1,192",$55,"$1,247",$335,-,$160,"$-1,602","$-1,107","$1,501",$-4,-,-,$-408,$-545,$-953,$-120,"$-1,077",-,-,-,$-272,$-272,$-178,$13,$-437,$-10,-,$-178
2012-06-30,$499,"$1,172",$-112,"$1,060",$-60,-,$229,"$-1,111",$-942,$451,$-53,-,-,$141,$338,$479,$-212,$214,$-258,-,$-258,$-260,$-260,$-180,$7,$-691,$-28,-,$-180
2012-03-31,$806,"$1,187",$-5,"$1,182",$344,-,$117,"$-1,488","$-1,027",$814,$-5,-,-,$226,$-672,$-446,$156,$-295,-,-,-,$-329,$-329,$-161,$12,$-478,$44,-,$-161
