,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$546,$190,$127,$317,$95,$-96,$239,$-341,$71,$887,$-297,-,"$-1,083",$42,-,$42,$10,"$-1,328",$-98,$-64,$-162,$-246,$-246,$-364,$-23,$-795,"$-1,215",$46,$-364
2020-09-30,$483,$192,$75,$267,-,-,-,$-198,$-198,$559,$-253,-,-,$-36,-,$-36,$2,$-287,$100,$170,$270,$-109,$-109,$-365,$-1,$-205,$70,$47,$-365
2020-06-30,$692,$201,$56,$257,-,-,-,$634,$634,"$1,579",$-284,-,-,$-60,-,$-60,$13,$-331,-,$-385,$-385,$-22,$-22,$-365,$-15,$-787,$469,$39,$-365
2020-03-31,$675,$213,$-39,$174,-,-,-,$-144,$-144,$704,$-352,-,-,$-9,-,$-9,$2,$-359,$989,$-282,$707,$-106,$-106,$-357,$-24,$220,$537,$15,$-357
2019-12-31,$556,$217,$59,$276,$-116,$24,$-153,$351,$111,$924,$-306,-,$-4,$40,-,$40,$-5,$-275,$4,$-21,$-17,$-239,$-239,$-354,$-22,$-632,$26,$22,$-354
2019-09-30,$680,$230,$-160,$70,-,-,-,$126,$126,$886,$-92,-,-,$-109,-,$-109,$-44,$-245,$2,$-219,$-217,$-163,$-163,$-354,$-13,$-747,$-118,$26,$-354
2019-06-30,$495,$236,$46,$282,-,-,-,$-150,$-150,$609,$-253,-,-,$51,-,$51,$4,$-198,$395,$-308,$87,$-32,$-32,$-355,$-71,$-371,$43,$32,$-355
2019-03-31,$466,$234,$-6,$228,-,-,-,$-375,$-375,$317,$-316,-,-,$-8,-,$-8,-,$-324,$-402,$851,$449,$-138,$-138,$-345,$-8,$-42,$-48,$16,$-345
2018-12-31,$421,$230,$47,$277,$33,$-127,$392,$-205,$272,$949,$-276,-,-,$-2,-,$-2,$8,$-270,$410,$-487,$-77,$-192,$-192,$-347,$-16,$-632,$45,$-4,$-347
2018-09-30,$462,$217,$-16,$201,-,-,-,$24,$24,$692,$-203,-,-,$-26,-,$-26,$9,$-220,$-306,$349,$43,$-148,$-148,$-348,-,$-453,$10,$19,$-348
2018-06-30,$465,$224,$98,$322,-,-,-,$-10,$-10,$787,$-158,-,-,$11,-,$11,$-9,$-156,$-2,$-145,$-147,$-215,$-215,$-350,$-35,$-747,$-142,$8,$-350
2018-03-31,$97,$211,$33,$244,-,-,-,$103,$103,$542,$-189,-,-,$-64,-,$-64,$-3,$-256,$-2,$249,$247,$-183,$-183,$-341,$-6,$-283,$10,$18,$-341
2017-12-31,$625,$184,$30,$214,$-44,$-33,$174,$187,$6,$863,$-187,-,-,$22,-,$22,$-9,$-174,$-509,$249,$-260,$-100,$-100,$-342,$-39,$-741,$-39,$12,$-342
2017-09-30,$579,$182,$30,$212,-,-,-,$37,$37,$805,$-209,-,-,$-62,-,$-62,$-19,$-290,$-367,$-3,$-370,$-200,$-200,$-343,$-3,$-916,$-396,$14,$-343
2017-06-30,$540,$180,$43,$223,-,-,-,$73,$73,$825,$-171,-,-,$-24,-,$-24,$-14,$-209,$340,$-82,$258,$-273,$-273,$-345,$-37,$-397,$216,$30,$-345
2017-03-31,$575,$178,$-47,$131,-,-,-,$-264,$-264,$436,$-215,-,-,$33,-,$33,$4,$-178,$-8,$196,$188,$-217,$-217,$-329,$-9,$-367,$-88,$20,$-329
2016-12-31,$518,$177,$-8,$169,$-23,$230,$-61,$-108,$185,$871,$-166,-,-,$36,-,$36,$-26,$-156,$1,$-71,$-70,$-217,$-217,$-330,$-31,$-648,$39,$13,$-330
2016-09-30,$563,$179,$10,$189,-,-,-,$208,$208,$948,$-185,-,-,$-38,$-28,$-66,$59,$-192,$489,$-515,$-26,$-180,$-180,$-331,$3,$-534,$228,$19,$-331
2016-06-30,$578,$177,$79,$256,-,-,-,$46,$46,$860,$-177,-,-,$-14,$28,$14,$8,$-155,$-589,$353,$-236,$-126,$-126,$-332,$6,$-688,$21,$30,$-332
2016-03-31,$560,$172,$-65,$107,-,-,-,$-105,$-105,$553,$-220,-,-,$-17,-,$-17,$8,$-229,$794,$-675,$119,$-109,$-109,$-318,$-7,$-315,$16,$15,$-318
2015-12-31,$344,$181,$300,$481,$60,$-28,$44,$-59,$-174,$665,$-258,-,-,$18,-,$18,$13,$-227,$-201,$412,$211,$-320,$-320,$-320,$-10,$-439,$-24,$7,$-320
2015-09-30,$529,$182,$17,$199,-,-,-,$101,$101,$849,$-271,-,-,$-9,-,$-9,$-17,$-297,$282,$-292,$-10,$-125,$-125,$-321,$1,$-455,$40,$17,$-321
2015-06-30,$-293,$189,$839,"$1,028",-,-,-,$29,$29,$772,$-243,-,-,$-18,-,$-18,$16,$-245,$-27,$-108,$-135,$-69,$-69,$-321,$17,$-508,$16,$36,$-321
2015-03-31,$486,$194,$-263,$-69,-,-,-,$-401,$-401,$20,$-284,-,-,$27,-,$27,$-24,$-281,$493,$291,$784,$-358,$-358,$-310,$-12,$104,$-202,$15,$-310
2014-12-31,$-63,$207,$37,$244,$267,$12,$-30,$379,$349,$590,$-309,-,-,$20,$31,$51,$13,$-245,$622,$568,"$1,190",$-788,"$-1,288",$-314,$-158,$-570,$-642,$1,$-314
2014-09-30,$582,$220,$34,$254,-,-,-,$152,$152,$976,$-291,-,-,$-1,$3,$2,$45,$-244,$2,$-126,$-124,$-188,$-188,$-315,$-15,$-642,$62,$15,$-315
2014-06-30,$530,$217,$109,$326,-,-,-,$-5,$-5,$842,$-181,-,-,$-50,$93,$43,$-9,$-147,$610,$-375,$235,$-432,$-432,$-318,$14,$-501,$204,$27,$-318
2014-03-31,$546,$218,$-139,$79,-,-,-,$-210,$-210,$437,$-258,-,-,$119,-,$119,$5,$-134,$-100,$654,$554,$-404,$-404,$-309,$-21,$-180,$111,$9,$-309
2013-12-31,$558,$222,$72,$294,$4,$100,$128,$172,$137,$945,$-240,-,-,$-19,$10,$-9,$-5,$-254,$-1,$-309,$-310,$-189,$-195,$-310,$-17,$-832,$-125,$19,$-310
2013-09-30,$565,$208,$120,$328,-,-,-,$29,$29,$912,$-176,-,$-32,-,$6,$6,$3,$-199,$-499,$289,$-210,$-147,$-154,$-311,$-1,$-676,$19,$21,$-311
2013-06-30,$547,$212,$-10,$202,-,-,-,$-167,$-167,$576,$-208,-,-,-,$10,$10,$-14,$-212,$825,$-602,$223,$-212,$-219,$-313,$18,$-291,$51,$22,$-313
2013-03-31,$551,$221,$-77,$144,-,-,-,$-121,$-121,$607,$-200,-,-,$20,-,$20,$1,$-179,$21,$335,$356,$-436,$-443,$-289,$-10,$-386,$3,$30,$-289
2012-12-31,$286,$215,$149,$364,-,-,-,$454,$454,"$1,119",$-327,-,-,$-134,$9,$-125,$-3,$-455,$-21,$-193,$-214,$-280,$-287,$-292,$-23,$-816,$-143,$10,$-292
2012-09-30,$537,$210,$117,$327,-,-,-,$-26,$-26,$844,$-277,-,$-5,$11,$7,$18,$7,$-257,$-44,$196,$152,$-212,$-219,$-292,$11,$-348,$255,$14,$-292
2012-06-30,$518,$214,$112,$326,-,-,-,$-94,$-94,$740,$-222,-,-,$-2,$7,$5,$-4,$-221,$-4,$-118,$-122,$96,$89,$-290,$20,$-303,$209,$30,$-290
2012-03-31,$487,$218,$99,$317,-,-,-,$-215,$-215,$585,$-258,-,-,$8,-,$8,$-1,$-251,$-108,$386,$278,$-323,$-330,$-277,$-6,$-335,$21,$13,$-277
2011-12-31,$422,$270,$-84,$186,$-169,$9,$161,$90,$-107,$517,$-284,-,-,$-10,$7,$-3,$1,$-286,$-47,$-1,$-48,$141,$-376,$-275,$-11,$-710,$-468,$11,$-275
2011-09-30,$458,$291,$94,$385,-,-,-,$-93,$-93,$750,$-198,-,-,-,$12,$12,$223,$37,$92,$-273,$-181,$52,$39,$-275,$-21,$-438,$324,$6,$-275
