,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,"$3,126",$197,"$2,000","$2,197",$-108,-,$-39,"$-1,300","$-1,810","$3,513",$-160,-,$-75,-,$830,$830,$44,$639,"$-3,000",-,"$-3,000","$-1,735","$-1,735",$-703,$-134,"$-5,572","$-1,116",$122,$-703
2020-09-30,"$2,137",$159,"$2,241","$2,400",$-151,-,$14,"$-1,926","$-2,441","$2,096",$-168,-,-,-,$-709,$-709,$-4,$-881,"$3,227",-,"$3,227","$-1,494","$-1,494",$-662,$-316,$755,"$2,237",$94,$-662
2020-06-30,"$2,373",$197,"$1,402","$1,599",$70,-,$-7,"$-1,741",$-970,"$3,002",$-161,-,-,-,$-16,$-16,$44,$-133,"$3,985","$-1,001","$2,984","$-1,036","$-1,036",$-663,$-121,"$1,164","$4,118",$107,$-663
2020-03-31,"$3,084",$192,"$1,836","$2,028",$145,-,$26,"$-3,557","$-3,645","$1,467",$-216,-,-,-,"$2,100","$2,100",$-5,"$1,879",-,"$1,001","$1,001","$-3,079","$-3,079",$-668,$-8,"$-2,754",$553,$99,$-668
2019-12-31,"$3,272",$182,"$1,763","$1,945",$-107,-,$-12,"$-1,785","$-1,342","$3,875",$-191,-,$-77,-,$793,$793,$37,$562,-,-,-,"$-2,315","$-2,315",$-671,$-147,"$-3,133","$1,431",$116,$-671
2019-09-30,"$3,025",-,"$1,862","$1,862",$-14,-,$-2,"$-1,545",$-845,"$4,042",$-249,-,$-563,-,$-235,$-235,$43,"$-1,004",-,-,-,"$-2,092","$-2,092",$-563,$-5,"$-2,660",$163,$86,$-563
2019-06-30,"$3,101",$165,"$2,047","$2,212",$-116,-,$26,"$-1,349","$-1,929","$3,384",$-194,-,$-136,-,"$1,071","$1,071",$68,$809,-,-,-,"$-2,111","$-2,111",$-565,"$-1,239","$-3,915",$387,$110,$-565
2019-03-31,"$2,977",$160,"$1,001","$1,161",$-3,-,$-2,"$-2,238","$-2,074","$2,064",$-156,-,-,-,$-81,$-81,$-89,$-326,-,-,-,"$-1,897","$-1,897",$-569,$-2,"$-2,468",$-833,$111,$-569
2018-12-31,"$2,977",$159,"$1,613","$1,772",$-200,-,$-46,"$-1,210","$-1,455","$3,294",$-157,-,-,-,$87,$87,-,$-70,-,-,-,"$-2,345","$-2,345",$-572,$-101,"$-3,018",$138,$100,$-572
2018-09-30,"$2,845","$-3,837","$5,415","$1,578",$12,-,$21,"$-1,338",$-947,"$3,476",$-209,-,-,-,"$-1,586","$-1,586",$16,"$-1,779",-,-,-,"$-1,559","$-1,559",$-483,$-4,"$-2,046",$-361,$85,$-483
