,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2020-12-31,$-376,$317,$64,$381,$8,-,$26,$15,$-1,$4,$-252,-,-,-,-,-,-,$-252,$-16,-,$-16,$2,$2,-,$-1,$-15,$-261,$5,-
2020-09-30,$-731,$316,$63,$379,$162,-,$5,$-9,$58,$-294,$-376,-,-,-,-,-,-,$-376,$30,-,$30,$4,$4,-,$-6,$28,$-634,$5,-
2020-06-30,$-985,$307,$1,$308,$66,-,$-16,$36,$25,$-652,$-382,-,-,-,-,-,-,$-382,"$1,480",-,"$1,480",$2,$2,-,$-21,"$1,461",$414,$5,-
2020-03-31,$-51,$313,$-14,$299,$166,-,$-66,$-48,$-618,$-370,$-319,-,-,-,-,-,-,$-319,$-16,-,$-16,$16,$16,$-911,$-3,$-914,"$-1,624",$7,$-911
2019-12-31,$783,$313,$67,$380,$-94,-,$-22,$-3,$79,"$1,242",$-456,-,$1,-,-,-,-,$-455,$482,-,$482,$-290,$-290,$-587,$-5,$-400,$410,$9,$-587
2019-09-30,$669,$305,$73,$378,$1,-,$32,$-63,$-147,$900,$-303,-,-,-,-,-,-,$-303,$33,-,$33,$-95,$-95,$-592,$-127,$-781,$-199,$8,$-592
2019-06-30,"$1,108",$309,$-430,$-121,$-42,-,$-10,$-962,$-911,$76,$-212,$-53,"$1,160",-,-,-,-,$895,$-25,-,$-25,$-155,$-155,$-918,-,"$-1,098",$-117,$9,$-918
2019-03-31,$744,$317,$41,$358,$-15,-,$-26,$-4,$-282,$820,$-240,-,-,-,-,-,-,$-240,$-26,-,$-26,$-160,$-160,$-903,-,"$-1,089",$-513,$9,$-903
2018-12-31,$-40,$303,$826,"$1,129",$-84,-,$26,$-12,$212,"$1,301",$-320,-,-,-,-,-,-,$-320,$-25,-,$-25,$-429,$-429,$-584,$-39,"$-1,077",$-124,$7,$-584
2018-09-30,$699,$299,$72,$371,$-101,-,$-2,$-18,$-174,$896,$-204,-,-,-,-,-,-,$-204,$660,-,$660,$-292,$-292,$-591,$-54,$-277,$423,$8,$-591
2018-06-30,$676,$291,$78,$369,$19,-,$-4,$4,$62,"$1,107",$-172,-,-,-,-,-,-,$-172,"$1,805",-,"$1,805",$-84,$-84,$-902,$-10,$809,"$1,722",$7,$-902
2018-03-31,"$1,616",$283,$-641,$-358,$47,-,$-12,$-14,$139,"$1,397",$-234,-,-,-,-,-,-,$-234,$-25,-,$-25,$-21,$-21,$-902,$-29,$-977,$210,$8,$-902
2017-12-31,"$1,361",$277,$-483,$-206,$7,-,$29,$26,$166,"$1,321",$-232,-,-,-,-,-,-,$-232,$-30,-,$-30,$-67,$-67,$-581,-,$-678,$418,$8,$-581
2017-09-30,$684,$283,$78,$361,$-34,-,$34,$-27,$68,"$1,113",$-211,-,-,-,-,-,-,$-211,$-578,-,$-578,$-59,$-59,$-581,-,"$-1,218",$-305,$8,$-581
2017-06-30,$639,$345,$45,$390,$39,-,$2,$9,$117,"$1,146",$-177,-,-,-,-,-,-,$-177,$319,-,$319,$-64,$-64,$-892,-,$-637,$351,$8,$-892
2017-03-31,$579,$341,$71,$412,$71,-,$-25,$14,$-28,$963,$-202,-,-,-,-,-,-,$-202,$85,-,$85,$-145,$-145,$-889,$-5,$-954,$-172,$10,$-889
2016-12-31,$616,$338,$63,$401,$39,-,$7,$-14,$196,"$1,213",$-294,-,-,-,-,-,$1,$-293,$12,-,$12,$12,$12,$-576,$-2,$-554,$340,$6,$-576
2016-09-30,$606,$297,$70,$367,$5,-,$17,$-29,$71,"$1,044",$-397,-,-,-,-,-,-,$-397,$-467,-,$-467,$3,$3,$-576,$-31,"$-1,071",$-435,$7,$-576
2016-06-30,$394,$274,$77,$351,$120,-,$-4,$11,$243,$988,$-361,$-47,-,-,-,-,$8,$-400,$833,-,$833,$1,$1,$-889,-,$-55,$529,$8,$-889
2016-03-31,$409,$280,$81,$361,$155,-,$-1,$-4,$29,$799,$-341,-,-,-,-,-,$-9,$-350,$-69,-,$-69,$1,$1,$-883,-,$-951,$-483,$13,$-883
2015-12-31,$575.278,$268.832,$82.475,$351.307,$25.652,$-1.405,$13.886,$10.395,$91.929,"$1,018.514",$-414.856,-,-,-,-,-,$-0.059,$-414.915,$305.426,-,$305.426,$-62.891,$-62.891,$-522.629,$-2.6,$-282.694,$323.853,$9.467,$-522.629
2015-09-30,$618.193,$267.56,$43.665,$311.225,$-40.037,$-0.329,$3.739,$-12.297,$-70.465,$858.953,$-393.544,-,-,-,-,-,$-0.392,$-393.936,$-504.094,-,$-504.094,$-68.193,$-68.193,$-831.696,$0.103,"$-1,403.88",$-963.214,$9.342,$-831.696
