,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2010-09-30,"$3,081",$689,$137,$826,$-434,$-604,-,$19,"$-1,322","$2,452",$-505,-,$-398,-,$-25,$-25,-,$-928,$-17,"$2,412","$2,395","$-3,010","$-3,010","$-1,422",$136,"$-1,901",$-276,$87,"$-1,422"
2010-06-30,"$2,295",$780,$-51,$729,$324,$113,-,$-313,$372,"$3,372","$-1,066",-,$-360,-,$-141,$-141,-,"$-1,567","$-1,546","$1,683",$137,"$-3,118","$-3,118","$-1,457",$662,"$-3,776","$-2,020",$120,"$-1,457"
2010-03-31,"$2,585",$799,$309,"$1,108",$488,$-75,-,$-355,$943,"$4,910",$-698,-,$5,-,$17,$17,-,$-676,$504,$-579,$-75,"$-1,790","$-1,790","$-1,329",-,"$-3,194",$769,$128,"$-1,329"
2009-12-31,"$4,659",$758,"$-2,310","$-1,552",$-313,$144,-,$-86,$240,"$3,294","$2,108",-,$-51,-,$-33,$-33,-,"$2,024",$-184,"$-4,816","$-5,000","$-1,205","$-1,205","$-1,336",-,"$-7,541","$-2,164",$106,"$-1,336"
2009-09-30,"$3,307",$771,$-129,$642,$-513,$-96,-,$398,$607,"$4,555",$-343,-,$-19,-,$-16,$-16,-,$-378,"$-3,490","$1,914","$-1,576",$109,$109,"$-1,336",-,"$-2,803","$1,513",$99,"$-1,336"
2009-06-30,"$2,471",$854,$641,"$1,495",$166,"$1,034",-,$-501,$970,"$4,996","$-1,089",-,$-53,-,$50,$50,-,"$-1,092",$-397,"$-1,976","$-2,373",$-588,$-588,"$-1,336",$681,"$-3,616",$347,$148,"$-1,336"
2009-03-31,"$2,613",$725,$-17,$708,"$1,024",$512,-,$-107,"$1,084","$4,283",$-658,-,$8,-,$64,$64,-,$-586,"$2,007","$-4,540","$-2,533","$-1,090","$-1,090","$-1,215",-,"$-4,838","$-1,219",$145,"$-1,215"
2008-12-31,"$5,004",$693,"$-1,945","$-1,252",$-50,$8,-,$-534,"$-1,642","$2,196",$-250,-,$-31,-,$18,$18,-,$-263,"$1,138",$660,"$1,798","$-1,186","$-1,186","$-1,239",-,$-627,"$1,151",$97,"$-1,239"
2008-09-30,"$3,348",$810,$56,$866,$-725,$-833,-,$384,$-776,"$3,444",$-154,-,$-292,-,$34,$34,-,$-412,$-409,"$3,436","$3,027","$-3,506","$-3,506","$-1,254",-,"$-1,733","$1,189",$126,"$-1,254"
2008-06-30,"$3,016",$896,$242,"$1,138",$179,$27,-,"$-1,149",$-378,"$3,813","$-1,025",-,$-417,-,$138,$138,-,"$-1,304",$-966,$911,$-55,"$-3,448","$-3,448","$-1,270","$1,867","$-2,906",$-424,$159,"$-1,270"
2008-03-31,"$2,710",$767,$907,"$1,674",$956,$-488,-,$-295,$-130,"$4,115",$-656,-,$12,-,$314,$314,-,$-330,"$-2,602",$285,"$-2,317","$-2,097","$-2,097","$-1,118",-,"$-5,532","$-1,612",$154,"$-1,118"
2007-12-31,"$3,270",$751,$138,$889,$-108,$76,-,$-19,$-90,"$3,850",$-171,-,$12,-,$-337,$-337,-,$-496,$589,$159,$748,"$-2,381","$-2,381","$-1,129",-,"$-2,762",$723,$136,"$-1,129"
2007-09-30,"$3,079",$752,$198,$950,$-595,$-665,-,$193,$-993,"$3,230",$-266,-,$12,-,$-165,$-165,-,$-419,"$-1,680","$1,295",$-385,"$-2,121","$-2,121","$-1,138",-,"$-3,644",$-728,$106,"$-1,138"
2007-06-30,"$2,268",$763,$-20,$743,$137,$247,-,$-189,$150,"$3,557",$-925,-,$-325,-,$-52,$-52,-,"$-1,302","$1,514",$-68,"$1,446","$-2,730","$-2,730","$-1,140","$1,499",$-925,"$1,360",$186,"$-1,140"
2007-03-31,"$2,512",$878,$298,"$1,176",$802,$-150,-,$148,$559,"$4,450",$-635,-,$-28,-,$105,$105,-,$-558,"$-2,204",$-799,"$-3,003",$-865,$-865,"$-1,024",-,"$-4,892",$-993,$193,"$-1,024"
2006-12-31,"$2,862",$705,$176,$881,$-759,$20,-,$-212,"$-1,417","$2,450",$-635,-,$-67,-,$527,$527,-,$-175,"$-11,937","$9,879","$-2,058","$-1,046","$-1,046","$-1,022",-,"$-4,126","$-1,731",$131,"$-1,022"
2006-09-30,"$2,698",$784,$314,"$1,098",$-909,$-506,-,$102,$-839,"$2,953",$-469,-,$-72,-,$93,$93,-,$-448,$-544,$-6,$-550,$-937,$-937,"$-1,023",-,"$-2,510",$25,$158,"$-1,023"
2006-06-30,"$1,898",$736,$-43,$693,$-274,$544,-,$-427,$655,"$3,190",$-471,-,$-45,-,$393,$393,-,$-123,"$4,494","$-2,618","$1,876","$-7,353","$-7,353","$-1,058","$1,319","$-5,216","$-1,982",$185,"$-1,058"
2006-03-31,"$2,211",$733,$37,$770,$707,$-234,-,$15,$523,"$3,439",$-624,-,$-33,-,$452,$452,-,$-205,$-41,$-541,$-582,$-955,$-955,$-954,-,"$-2,491",$859,$192,$-954
2005-12-31,"$2,546",$710,$100,$810,$-418,$222,-,$-271,$-841,"$2,575",$-315,-,"$1,427",-,$56,$56,-,"$1,168","$6,056","$-4,238","$1,818","$-3,109","$-3,109",$-964,-,"$-2,255","$1,506",$113,$-964
2005-09-30,"$2,029",$448,$379,$827,$-539,$-149,-,$175,$-756,"$2,171",$-375,-,"$-1,178",-,$-17,$-17,-,"$-1,570","$6,754","$-1,230","$5,524","$-5,413","$-5,413",$-727,-,$-616,$-79,$95,$-727
2005-06-30,"$1,392",$481,$273,$754,$111,$134,-,$-277,$-18,"$2,090",$-646,-,$-44,-,$-44,$-44,-,$-734,$-370,$699,$329,"$-1,852","$-1,852",$-733,$521,"$-1,735",$-683,$154,$-733
2005-03-31,"$5,531","$1,403",$815,"$2,218",$-197,$-778,-,$-221,"$-1,311","$6,589","$-1,018",-,$-528,-,$-56,$-56,-,"$-1,602","$1,465","$1,317","$2,782","$-3,174","$-3,174","$-1,998",-,"$-2,390","$2,840",$370,"$-1,998"
